"保険者番号","保険者別","税・料別","賦課算定方式","徴収回数(回)","賦課期日現在の保険料（税）算定額及びその構成割合／所得割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／所得割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／資産割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／資産割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／均等割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／均等割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／平等割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／平等割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／計(千円)","保険料（税）軽減額(千円)","災害等による減免額(千円)","その他の減免額(千円)","賦課限度額を超える額(千円)","増減額(千円)","調定額(千円)"
"40","奥多摩町","税","2方式","8","45162","53.81","","","38760","46.19","","","83922","9449","0","71","318","-681","73403"
"42","日野市","税","4方式","9","1789230","59.19","154441","5.11","839102","27.76","240048","7.94","3022821","243150","8","3879","349717","-75703","2350364"
"44","多摩市","税","2方式","10","1426733","60.70","","","923654","39.30","","","2350387","196053","237","2996","218200","11503","1944404"
"45","稲城市","税","2方式","9","852839","65.88","","","441627","34.12","","","1294466","83019","0","1064","160386","11407","1061404"
"46","国立市","税","2方式","8","895011","71.94","","","349077","28.06","","","1244088","78917","196","889","169092","-21022","973972"
"47","狛江市","税","4方式","8","995952","66.89","78842","5.29","390950","26.26","23283","1.56","1489027","87608","347","1469","225970","-4059","1169574"
"48","小金井市","税","3方式","8","1421426","68.11","","","554442","26.57","110966","5.32","2086834","137332","0","3722","241657","-35348","1668775"
"49","国分寺市","税","2方式","8","1319448","63.43","","","760648","36.57","","","2080096","147412","0","2803","317909","-447","1611525"
"51","武蔵村山市","税","4方式","8","784232","59.01","103223","7.77","346777","26.10","94634","7.12","1328866","100371","429","480","101661","-33733","1092192"
"52","東大和市","税","4方式","8","907063","57.46","77261","4.90","475641","30.14","118307","7.50","1578272","128110","0","1402","144495","-25071","1279194"
