"","総数","知っており、参加したことがある／人数","知っており、参加したことがある／割合","知っているが、参加したことはない／人数","知っているが、参加したことはない／割合","知らなかったが、参加してみたい／人数","知らなかったが、参加してみたい／割合","知らないし、参加する予定はない／人数","知らないし、参加する予定はない／割合","無回答／人数","無回答／割合"
"１呼吸器症状、ぜん息／あり","807","6","0.7","80","9.9","304","37.7","397","49.2","20","2.5"
"１呼吸器症状、ぜん息／なし","2558","22","0.9","240","9.4","751","29.4","1481","57.9","64","2.5"
"２食物アレルギー／あり","733","11","1.5","92","12.6","275","37.5","336","45.8","19","2.6"
"２食物アレルギー／なし","2643","17","0.6","227","8.6","788","29.8","1544","58.4","67","2.5"
"３アトピー性皮膚炎／あり","677","6","0.9","77","11.4","264","39.0","310","45.8","20","3.0"
"３アトピー性皮膚炎／なし","2684","22","0.8","242","9.0","793","29.5","1562","58.2","65","2.4"
"４アレルギー性鼻炎／あり","710","7","1.0","91","12.8","260","36.6","327","46.1","25","3.5"
"４アレルギー性鼻炎／なし","2646","21","0.8","229","8.7","791","29.9","1546","58.4","59","2.2"
"５アレルギー性結膜炎／あり","288","0","0.0","40","13.9","109","37.8","133","46.2","6","2.1"
"５アレルギー性結膜炎／なし","3052","28","0.9","278","9.1","937","30.7","1732","56.7","77","2.5"
"６じんましん／あり","694","9","1.3","73","10.5","242","34.9","350","50.4","20","2.9"
"６じんましん／なし","2665","19","0.7","246","9.2","814","30.5","1522","57.1","64","2.4"
"７その他のアレルギー疾患／あり","91","3","3.3","7","7.7","32","35.2","46","50.5","3","3.3"
"７その他のアレルギー疾患／なし","3196","25","0.8","308","9.6","993","31.1","1790","56.0","80","2.5"
"何らかのアレルギーの症状または診断／あり","1996","19","1.0","207","10.4","697","34.9","1022","51.2","51","2.6"
"何らかのアレルギーの症状または診断／なし","1435","9","0.6","118","8.2","384","26.8","889","62.0","35","2.4" 
