"","具体的な援助を開始するまでの期間","警察・消防","民間援助機関","その他","不明","無回答","合計"
"1","半日（１２時間）未満(回答数)","0","0","1","0","0","57"
"1","半日（１２時間）未満(%)","","","14.3","","","12.3"
"2","半日～１日（２４時間）未満(回答数)","1","0","0","0","0","43"
"2","半日～１日（２４時間）未満(%)","100.0","","","","","9.2"
"3","１日～２日（４８時間）未満(回答数)","0","0","0","0","0","33"
"3","１日～２日（４８時間）未満(%)","","","","","","7.1"
"4","２日～３日未満(回答数)","0","1","0","0","0","28"
"4","２日～３日未満(%)","","100.0","","","","6.0"
"5","３日～１週間未満(回答数)","0","0","0","0","0","68"
"5","３日～１週間未満(%)","","","","","","14.6"
"6","１週間～２週間未満(回答数)","0","0","1","0","0","65"
"6","１週間～２週間未満(%)","","","14.3","","","14.0"
"7","２週間～１ヶ月未満(回答数)","0","0","2","0","0","64"
"7","２週間～１ヶ月未満(%)","","","28.6","","","13.8"
"8","１ヶ月以後(回答数)","0","0","0","0","0","76"
"8","１ヶ月以後(%)","","","","","","16.3"
"9","不明(回答数)","0","0","3","0","0","25"
"9","不明(%)","","","42.9","","","5.4"
"0","無回答(回答数)","0","0","0","0","2","6"
"0","無回答(%)","","","","","100.0","1.3"
"","合計(回答数)","1","1","7","0","2","465"
"","合計(%)","100.0","100.0","100.0","","100.0","100.0"
