"","合算分／多数該当分","合算分／その他","単独分／多数該当分","単独分／長期疾病分","単独分／入院分","単独分／その他","他法併用分","合計","現物配給分(再掲)"
"総数／件数(件)","25195","135315","50766","69547","102067","72046","90009","544945","329422"
"総数／高額療養費(円)","781993248","1221167121","4166407275","4904362639","14030647239","2203852849","3132105674","30440536045","26114732023"
"(再掲)前期高齢者分／件数(件)","16090","128940","20577","44319","66199","58976","74818","409919",""
"(再掲)前期高齢者分／高額療養費(円)","422256384","970876409","1795877121","2708772419","9060708675","1566118092","1460230280","17984839380",""
"(再掲)70歳以上一般分／件数(件)","5520","116443","1507","22973","37217","49269","69343","302272",""
"(再掲)70歳以上一般分／高額療養費(円)","45711225","635697638","12499830","937894642","4224795977","1087924282","859459916","7803983510",""
"(再掲)70歳以上現役並み／件数(件)","2287","7196","1054","1673","4079","3085","864","20238",""
"(再掲)70歳以上現役並み／高額療養費(円)","68308409","104166935","99227871","132526480","636880260","154000901","62402002","1257512858",""
"(再掲)未就学児分／件数(件)","54","183","108","19","1237","456","618","2675",""
"(再掲)未就学児分／高額療養費(円)","2889952","7316873","7415779","1309298","131259975","19641519","106946692","276780088",""
"長期高額疾病該当者数","","","","","","","","3613",""
