"","件数(件)","費用額(円)","保険者負担分(円)","一部負担金(円)","他法負担分(円)","被保険者１人当たりの費用額(計)(円)","被保険者１人当たりの医療給付額(高額含む)(円)"
"療養の給付等","36186698","710992358424","517611202348","165092661416","28288494660","",""
"食事療養・生活療養(再掲)","385809","9784141453","6484007279","3214499077","85635097","",""
"療養費等／食事療養・生活療養","240","","1465389","-1465389","0","",""
"療養費等／療養費／療養費","29424","537142525","380221716","150476330","6444479","",""
"療養費等／療養費／補装具","16732","662514269","486811347","137869474","37833448","",""
"療養費等／療養費／柔道整復師","1359395","12501547358","9054274416","3131275704","315997238","",""
"療養費等／療養費／アンマ・マッサージ","39857","1287638659","949726678","294579770","43332211","",""
"療養費等／療養費／ハリ・キュウ","49118","701989902","514528123","165888183","21573596","",""
"療養費等／療養費／その他","95","3537245","2799855","733248","4142","",""
"療養費等／療養費／小計","1494621","15694369958","11388362135","3880822709","425185114","",""
"療養費等／療養費／海外療養費（再掲）","3044","133733299","93934023","34127089","5672187","",""
"療養費等／移送費","23","1394282","1394282","0","0","",""
"計","37681582","726688122664","529002424154","168972018736","28713679774","303927","248398"
