"順位","原因食物","平成26年度(人数)","平成26年度(％)","平成26年度／H21年度調査との割合の変化"
"1","卵","459","81.0","-2.9"
"2","牛乳","189","33.3","-3.0"
"3","小麦","83","14.6","1.7"
"4 △","落花生","52","9.2","2.6"
"5","大豆","36","6.3","-1.5"
"6 △","キウイ","35","6.2","2.8"
"7 ▼","えび","29","5.1","-2.2"
"8 △","ごま","25","4.4","0.5"
"9 ▼","いくら","22","3.9","-4.6"
"9 △","くるみ","22","3.9","1.7"
"11 ▼","やまいも","17","3.0","-2.1"
"11 △","バナナ","17","3.0","-0.2"
"13 ▼","そば","16","2.8","-1.8"
"13","カシューナッツ","16","2.8",""
"15 ▼","かに","14","2.5","-2.1"
"16 ▼","さけ","12","2.1","-1.3"
"17 ▼","鶏肉","9","1.6","-2.8"
"17 ▼","さば","9","1.6","-3.8"
"19 ▼","牛肉","8","1.4","-0.8"
"20 △","豚肉","5","0.9","0.2"
"21 △","もも","4","0.7","0.5"
"21","りんご","4","0.7","-0.5"
"23 ▼","グミ・ゼラチン","3","0.5","-0.5"
"23 ▼","米","3","0.5","-2.2"
"25","オレンジ","2","0.4","-0.1"
"26 ▼","あわび","1","0.2","-0.5"
"26 ▼","いか","1","0.2","-2.0"
"28 ▼","まつたけ","0","0.0","-0.2"
"","その他","74","13.1","-1.7"
