"上段：度数／下段：%","n=","１００万未満","１００～２００万未満","２００～３００万未満","３００～４００万未満","４００万以上","無回答","平均値"
"ＴＯＴＡＬ","8214","1053","1660","2737","1205","336","1223","212.4"
"ＴＯＴＡＬ","100","12.8","20.2","33.3","14.7","4.1","14.9",""
"性別・年代／女性計","7526","1003","1545","2469","1074","294","1141","209.7"
"性別・年代／女性計","100","13.3","20.5","32.8","14.3","3.9","15.2",""
"性別・年代／女性２０代","3297","111","451","1606","610","23","496","235.0"
"性別・年代／女性２０代","100","3.4","13.7","48.7","18.5","0.7","15.0",""
"性別・年代／女性３０代","1612","208","316","419","284","162","223","229.6"
"性別・年代／女性３０代","100","12.9","19.6","26.0","17.6","10.0","13.8",""
"性別・年代／女性４０代","1560","392","453","280","113","67","255","168.5"
"性別・年代／女性４０代","100","25.1","29.0","17.9","7.2","4.3","16.3",""
"性別・年代／女性５０代以上","1005","281","315","152","63","40","154","158.1"
"性別・年代／女性５０代以上","100","28.0","31.3","15.1","6.3","4.0","15.3",""
"性別・年代／男性計","380","8","41","171","99","24","37","261.4"
"性別・年代／男性計","100","2.1","10.8","45.0","26.1","6.3","9.7",""
"性別・年代／男性２０代","281","4","36","128","77","5","31","248.3"
"性別・年代／男性２０代","100","1.4","12.8","45.6","27.4","1.8","11.0",""
"性別・年代／男性３０代以上","99","4","5","43","22","19","6","296.6"
"性別・年代／男性３０代以上","100","4.0","5.1","43.4","22.2","19.2","6.1",""
"性別・年代／無回答","308","42","74","97","32","18","45","212.1"
"性別・年代／無回答","100","13.6","24.0","31.5","10.4","5.8","14.6",""
