"区分","認可保育所","認証保育所"
"１/目的","保護者の委託を受けて、保育に欠けるその乳幼児を保育するために設置された児童福祉施設","大都市特有の多様な保育ニーズに応えるために、都独自の認証基準を満たして設置された保育施設"
"２/設置主体","区市町村（届出）社会福祉法人、民間事業者等（認可）","(1)Ａ型民間事業者等(2)Ｂ型個人"
"３/申込方法入所決定","区市町村に申し込み、区市町村が入所決定","認証保育所へ申し込み、利用者と直接契約"
"４/対象児童","０～５歳","（零歳児保育義務づけ）(1)Ａ型０～５歳 (2)Ｂ型０～２歳"
"５/規模","20人以上","(1)Ａ型20～120人(2)Ｂ型６～29人"
"６/施設基準","児童福祉施設最低基準","認可保育所に準じた都独自の基準"
"６/乳児室、ほふく室（0、1歳児室）","１人当たり3.3m2以上","(1)Ａ型3.3m2以上（2.5m2まで弾力化）(2)Ｂ型2.5m2以上"
"６/保育室・遊戯室（２歳以上児室）","１人当たり1.98m2以上","１人当たり 1.98m2以上"
"６/屋外遊戯場","２歳以上児１人当たり3.3m2以上（付近の代替場所でも可）","(1)Ａ型２歳以上児１人当たり3.3m2以上（付近の代替場所でも可）(2)Ｂ型特に規定せず"
"７/職員","児童福祉施設最低基準","認可保育所に準じた都独自の基準"
"７/保育従事者","保育士","保育士以外の者も可ただし、年齢別保育従事職員定数の６割以上は保育士(正規職員)"
"７/配置基準","０歳児：３人につき１人以上 １・２歳児：６人につき１人以上 ３歳児：20人につき１人以上 ４歳以上児：30人につき１人以上","認可保育所と同様の配置基準"
"８/開所時間","11時間が基本","13時間以上が基本"
"９/保育内容","保育所保育指針","保育所保育指針に準じる。"
"10/保育料","住民税又は所得税の課税額に応じた階層区分に基づき、区市町村が徴収（同一区市町村内は同一の料金体系）","下記の上限額の範囲内で自由設定 ３歳未満児：80,000円 ３歳以上児：77,000円（月220時間以下の利用の場合の月額）"
