"支出月","科目","支出目的","支出額(円)","支出相手先"
"H24/12","交付金交付","介護職員処遇改善交付金","294182","社会福祉法人多摩同胞会"
"H25/05","交付金返納","実績報告による返納金等","(90,172,618)","交付金受給事業者"
"H25/05","交付金返納","実績報告による返納金等","(39,978,440)","交付金受給事業者"
"H24/10","人件費","臨時職員賃金（９月）","1451840","臨時職員"
"H24/10","郵券（下半期）","実績報告の通知等","41660","郵便事業(株)"
"H24/10","負担金補助及び交付金","補助金交付","8400000","江東区"
"H24/10","負担金補助及び交付金","補助金交付","46595000","文京区外４区市"
"H24/11","人件費","臨時職員賃金（１０月）","1569280","臨時職員"
"H24/12","負担金補助及び交付金","補助金交付","54000000","（医）秀仁会"
"H25/01","負担金補助及び交付金","補助金交付","18085000","（福）恵比寿会"
"H25/01","負担金補助及び交付金","補助金交付","41054000","目黒区外３区市"
"H25/02","負担金補助及び交付金","補助金交付","139285000","（医）英世会外２法人"
"H25/03","負担金補助及び交付金","補助金交付","189663000","（医）沖縄徳洲会外３法人"
"H25/04","負担金補助及び交付金","補助金交付","134642000","（福）愛寿会外３法人"
"H25/04","負担金補助及び交付金","補助金交付","10800000","目黒区"
"H25/04","負担金補助及び交付金","補助金交付","118187000","墨田区外５区市"
"H25/04","負担金補助及び交付金","補助金交付","181765000","新宿区外１２区市"
"H25/04","負担金補助及び交付金","補助金交付","45170000","豊島区外３区"
"H25/05","負担金補助及び交付金","補助金交付","1336548000","（医）杏林会外２３法人"
"H25/05","負担金補助及び交付金","補助金交付","811943000","(福)桃山福祉会外６法人"
