"二次保健医療圏","全体(床)","全体／高度急性期(床)","全体／急性期(床)","全体／回復期(床)","全体／慢性期(床)","全体／休棟等(床)"
"区中央部／千代田区、中央区、港区、文京区、台東区","12677","8299","3305","469","466","138"
"区南部／品川区、大田区","8190","2065","3944","819","1352","10"
"区西南部／目黒区、世田谷区、渋谷区","10015","1253","5893","1162","1611","96"
"区西部／新宿区、中野区、杉並区","10053","3361","4461","825","1388","18"
"区西北部／豊島区、北区、板橋区、練馬区","13731","2773","6160","1864","2918","16"
"区東北部／荒川区、足立区、葛飾区","9541","900","4555","1356","2568","162"
"区東部／墨田区、江東区、江戸川区","8089","1535","4521","855","1130","48"
"西多摩／青梅市、福生市、羽村市、あきる野市、瑞穂町、日の出町、檜原村、奥多摩町","4072","184","1375","338","2172","3"
"南多摩／八王子市、町田市、日野市、多摩市、稲城市","10514","1525","3479","944","4350","216"
"北多摩西部／立川市、昭島市、国分寺市、国立市、東大和市、武蔵村山市","4555","1435","1383","552","1133","52"
"北多摩南部／武蔵野市、三鷹市、府中市、調布市、小金井市、狛江市","7676","3146","2142","754","1553","81"
"北多摩北部／小平市、東村山市、清瀬市、東久留米市、西東京市","5772","781","2275","698","2018","0"
"島しょ／大島町、利島村、新島村、神津島村、三宅村、御蔵島村、八丈町、青ヶ島村、小笠原村","114","0","114","0","0","0"
"合計（東京都全体）","104999","27257","43607","10636","22659","840"
