"変数名","オッズ比","95%信頼区間／下限","95%信頼区間／上限","99%信頼区間／下限","99%信頼区間／上限","p値"
"1)年齢","1.005","0.986","1.024","0.98","1.03","0.63845"
"2)居住年数","1.011","1.001","1.022","0.998","1.025","0.03284"
"3)性別","","","","","","0.91704"
"3)性別／男","1","","","","",""
"3)性別／女","0.979","0.653","1.468","0.575","1.667",""
"4)都市区分","","","","","","0.47666"
"4)都市区分／多摩市","1","","","","",""
"4)都市区分／その他","0.816","0.465","1.43","0.39","1.705",""
"5)本人アレルギー","","","","","","0"
"5)本人アレルギー／なし","1","","","","",""
"5)本人アレルギー／あり","3.512","2.304","5.353","2.018","6.111",""
"6)家族アレルギー","","","","","","0.00144"
"6)家族アレルギー／なし","1","","","","",""
"6)家族アレルギー／あり","1.743","1.238","2.453","1.112","2.732",""
"7)住宅構造","","","","","","0.72591"
"7)住宅構造／木造","1","","","","",""
"7)住宅構造／鉄筋・鉄骨","0.939","0.663","1.332","0.594","1.487",""
"8)じゅうたん・カ－ペットの使用","","","","","","0.42036"
"8)じゅうたん・カ－ペットの使用／なし","1","","","","",""
"8)じゅうたん・カ－ペットの使用／あり","1.149","0.819","1.613","0.737","1.794",""
"9)居間・寝室のカビ","","","","","","0.85894"
"9)居間・寝室のカビ／なし","1","","","","",""
"9)居間・寝室のカビ／あり","0.96","0.616","1.498","0.535","1.723",""
"10)部屋の窓（換気）","","","","","","0.7752"
"10)部屋の窓（換気）／よく開ける","1","","","","",""
"10)部屋の窓（換気）／開けない","0.932","0.573","1.515","0.492","1.765",""
"11)暖房形態","","","","","","0.00133"
"11)暖房形態／クリーン型","1","","","","",""
"11)暖房形態／ダーティ型","0.575","0.41","0.806","0.368","0.897",""
"12)暖房中の換気","","","","","","0.06795"
"12)暖房中の換気／あり","1","","","","",""
"12)暖房中の換気／なし","0.627","0.379","1.035","0.324","1.212",""
"13)暖房器具の熱源","","","","","","0.64818"
"13)暖房器具の熱源／電気","1","","","","",""
"13)暖房器具の熱源／ガス","1.218","0.522","2.842","0.4","3.708",""
"14)ペットの室内飼育","","","","","","0.61123"
"14)ペットの室内飼育／なし","1","","","","",""
"14)ペットの室内飼育／あり","0.904","0.613","1.333","0.543","1.506",""
"15)粉塵職場の経験","","","","","","0.01364"
"15)粉塵職場の経験／なし","1","","","","",""
"15)粉塵職場の経験／あり","2.19","1.175","4.083","0.966","4.965",""
"16)自動車排ガス関連の職業経験","","","","","","0.90194"
"16)自動車排ガス関連の職業経験／なし","1","","","","",""
"16)自動車排ガス関連の職業経験／あり","0.963","0.529","1.754","0.438","2.118",""
"17)喫煙習慣","","","","","","0.0671"
"17)喫煙習慣／非喫煙","1","","","","",""
"17)喫煙習慣／以前喫煙","1.693","1.074","2.67","0.931","3.081",""
"17)喫煙習慣／現喫煙","1.154","0.75","1.777","0.655","2.035",""
"18)家庭内受動喫煙","","","","","","0.15183"
"18)家庭内受動喫煙／なし","1","","","","",""
"18)家庭内受動喫煙／あり","1.298","0.909","1.853","0.812","2.073",""
"19)職場の受動喫煙","","","","","","0.14847"
"19)職場の受動喫煙／なし","1","","","","",""
"19)職場の受動喫煙／あり","1.319","0.906","1.921","0.805","2.162",""
"20)距離区分","","","","","","0.03458"
"20)距離区分／201m以上","1","","","","",""
"20)距離区分／0～50m","1.085","0.691","1.703","0.6","1.962",""
"20)距離区分／51～100m","0.611","0.342","1.091","0.285","1.309",""
"20)距離区分／101～150m","0.619","0.347","1.105","0.289","1.326",""
"20)距離区分／151～200m","0.423","0.209","0.855","0.167","1.068",""
