"区市町村通番","所管地域","名称","ヨミガナ","電話番号","ＦＡＸ番号","郵便番号","住所","緯度","経度","座標系","対応時間帯","特記事項","施設種別／地域包括支援センター","施設種別／ブランチ・サブセンター","施設種別／在宅介護支援センター","施設種別／その他相談窓口","相談内容／高齢者の異変","相談内容／消費者被害のおそれ"
"1","巣鴨3～5丁目、西巣鴨1～4丁目、北大塚1・2丁目","菊かおる園高齢者総合相談センター","ｷｸｶｵﾙｿﾉｺｳﾚｲｼｬｿｳｺﾞｳｿｳﾀﾞﾝｾﾝﾀｰ","03-3576-2245","03-3576-2247","170-0001","豊島区西巣鴨2-30-19","35.738995","139.728317","JGD2011","〔平日〕8時30分～18時30分／〔土曜日〕8時30分～16時30分","高齢者やその家族等からの様々な相談に社会福祉士等の専門職員が応じます","〇","","","","〇",""
"2","駒込1～7丁目、巣鴨1・2丁目、南大塚1～3丁目","東部高齢者総合相談センター","ﾄｳﾌﾞｺｳﾚｲｼｬｿｳｺﾞｳｿｳﾀﾞﾝｾﾝﾀｰ","03-5319-8703","03-5319-8726","170-0005","豊島区南大塚2-36-2","35.728756","139.730179","JGD2011","〔平日〕8時30分～18時30分／〔土曜日〕8時30分～16時30分","高齢者やその家族等からの様々な相談に社会福祉士等の専門職員が応じます","〇","","","","〇",""
"3","北大塚3丁目、上池袋1～4丁目、東池袋1～5丁目","中央高齢者総合相談センター","ﾁｭｳｵｳｺｳﾚｲｼｬｿｳｺﾞｳｿｳﾀﾞﾝｾﾝﾀｰ","03-5985-2850","03-5985-2835","170-0013","豊島区東池袋1-39-2","35.732391","139.714569","JGD2011","〔平日〕8時30分～18時30分／〔土曜日〕8時30分～16時30分","高齢者やその家族等からの様々な相談に社会福祉士等の専門職員が応じます","〇","","","","〇",""
"4","南池袋1～4丁目、雑司が谷1～3丁目、高田1～3丁目、目白1・2丁目","ふくろうの杜高齢者総合相談センター","ﾌｸﾛｳﾉﾓﾘｺｳﾚｲｼｬｿｳｺﾞｳｿｳﾀﾞﾝｾﾝﾀｰ","03-5958-1208","03-5958-1195","171-0022","豊島区南池袋3-7-8","35.723743","139.711975","JGD2011","〔平日〕8時30分～18時30分／〔土曜日〕8時30分～16時30分","高齢者やその家族等からの様々な相談に社会福祉士等の専門職員が応じます","〇","","","","〇",""
"5","西池袋1～5丁目、池袋3丁目、目白3～5丁目","豊島区医師会高齢者総合相談センター","ﾄｼﾏｸｲｼｶｲｺｳﾚｲｼｬｿｳｺﾞｳｿｳﾀﾞﾝｾﾝﾀｰ","03-3986-3993","03-3986-3089","171-0021","豊島区西池袋3-22-16","35.729816","139.706406","JGD2011","〔平日〕8時30分～18時30分／〔土曜日〕8時30分～16時30分","高齢者やその家族等からの様々な相談に社会福祉士等の専門職員が応じます","〇","","","","〇",""
"6","池袋1・2・4丁目、池袋本町1～4丁目","いけよんの郷高齢者総合相談センター","ｲｹﾖﾝﾉｻﾄｺｳﾚｲｼｬｿｳｺﾞｳｿｳﾀﾞﾝｾﾝﾀｰ","03-3986-0917","03-3986-0916","171-0011","豊島区池袋本町1-29-12","35.739872","139.714890","JGD2011","〔平日〕8時30分～18時30分／〔土曜日〕8時30分～16時30分","高齢者やその家族等からの様々な相談に社会福祉士等の専門職員が応じます","〇","","","","〇",""
"7","南長崎1～6丁目、長崎2～6丁目","アトリエ村高齢者総合相談センター","ｱﾄﾘｴﾑﾗｺｳﾚｲｼｬｿｳｺﾞｳｿｳﾀﾞﾝｾﾝﾀｰ","03-5965-3415","03-5995-8168","171-0051","豊島区長崎4-23-1","35.109089","136.919144","JGD2011","〔平日〕8時30分～18時30分／〔土曜日〕8時30分～16時30分","高齢者やその家族等からの様々な相談に社会福祉士等の専門職員が応じます","〇","","","","〇",""
"8","長崎1丁目、千早1～4丁目、要町1～3丁目、高松1～3丁目、千川1・2丁目","西部高齢者総合相談センター","ｾｲﾌﾞｺｳﾚｲｼｬｿｳｺﾞｳｿｳﾀﾞﾝｾﾝﾀｰ","03-3974-0065","03-3959-7666","171-0043","豊島区要町1-5-1","35.732933","139.695969","JGD2011","〔平日〕8時30分～18時30分／〔土曜日〕8時30分～16時30分","高齢者やその家族等からの様々な相談に社会福祉士等の専門職員が応じます","〇","","","","〇",""
"9","区内全域","豊島区役所","ﾄｼﾏｸﾔｸｼｮ","03-3981-1111","03-3981-1280","171-8422","豊島区南池袋2-45-1","35.725555","139.717392","JGD2011","〔コールセンター〕 8時～19時／〔宿直〕19時～8時","※","","","","〇","〇",""
"10","区内全域","豊島区消費生活センター","ﾄｼﾏｸｼｮｳﾋｾｲｶﾂｾﾝﾀｰ","03-3984-5515","03-5992-7024","171-8422","豊島区南池袋2-45-1 豊島区役所4階","35.725555","139.717392","JGD2011","月～金曜日（祝日、年末年始を除く。） 9時30分～16時","","","","","〇","","〇"
