"","はい","いいえ"
"対象者数","1063","12194"
"症状１","1000","11595"
"%","94.07","95.09"
"症状２","1017","11739"
"%","95.67","96.27"
"症状３","954","11222"
"%","89.75","92.03"
"症状４","959","11060"
"%","90.22","90.70"
"症状５","1023","11908"
"%","96.24","97.65"
"（軽症）間欠型","190","3015"
"%","17.87","24.73"
"軽症持続型","374","4586"
"%","35.18","37.61"
"中等症持続型","381","3650"
"%","35.84","29.93"
"重症持続型","113","916"
"%","10.63","7.51"
"アレ・ダニ・陽性","593","8447"
"%","55.79","69.27"
"アレ・ダニ・擬陽性","30","229"
"%","2.82","1.88"
"アレ・ダニ・陰性","385","2988"
"%","36.22","24.50"
"アレ・ハウスダスト・陽性","570","7927"
"%","53.62","65.01"
"アレ・ハウスダスト・擬陽性","25","238"
"%","2.35","1.95"
"アレ・ハウスダスト・陰性","375","2896"
"%","35.28","23.75"
