"","A","B","C","D","E","F","G","H"
"条件／予洗","無","無","無","無","温水","温水","温水","温水"
"条件／つけ置き","無","弱アルカリ性洗剤(20分)","次亜塩素酸ナトリウム(10分)","混合溶液※(10分)","無","弱アルアリ性洗剤(20分)","次亜塩素酸ナトリウム(10分)","混合溶液※(10分)"
"条件／洗浄","弱アルカリ性洗剤","弱アルカリ性洗剤","弱アルカリ性洗剤","弱アルカリ性洗剤","弱アルカリ性洗剤","弱アルカリ性洗剤","弱アルカリ性洗剤","弱アルカリ性洗剤"
"調理器具／ボウル","+","+","+","+","-","-","-","-"
"調理器具／菜箸(先端)","+","+","+","+","+","+","+","+"
"調理器具／菜箸(上部)","+","+","+","-","+","-","+","-"
"調理器具／泡立て器(先端)","+","+","+","-","+","-","-","-"
"調理器具／泡立て器(上部)","+","+","+","+","+","-","-","-"
"調理器具／フライ返し","+","+","+","+","+","+","+","-"
"調理器具／フライパン","-","-","-","-","-","-","-","-"
