"","施設数","園児・児童についての食物アレルギーに関する情報が職員間で共有されていなかった／施設数","園児・児童についての食物アレルギーに関する情報が職員間で共有されていなかった／割合","保護者からの情報が足りなかった／施設数","保護者からの情報が足りなかった／割合","他の園児・児童に配膳された食物を食べてしまった／施設数","他の園児・児童に配膳された食物を食べてしまった／割合","行事の時に間違えて食べてしまった／施設数","行事の時に間違えて食べてしまった／割合","間違えて配膳してしまった／施設数","間違えて配膳してしまった／割合","調理の段階で原因食材が混入してしまった／施設数","調理の段階で原因食材が混入してしまった／割合","その他／施設数","その他／割合","無回答／施設数","無回答／割合"
"認可保育所＊","172","26","15.1","19","11.0","35","20.3","8","4.7","88","51.2","26","15.1","46","26.7","1","0.6"
"認証保育所＊","47","5","10.6","5","10.6","9","19.1","1","2.1","24","51.1","13","27.7","6","12.8","",""
"認定こども園＊","12","1","8.3","3","25.0","1","8.3","1","8.3","2","16.7","4","33.3","3","25.0","",""
"幼稚園＊","39","1","2.6","6","15.4","3","7.7","7","17.9","9","23.1","1","2.6","16","41.0","2","5.1"
"ベビーホテル","13","2","15.4","3","23.1","3","23.1","1","7.7","3","23.1","2","15.4","2","15.4","",""
"家庭的保育","5","","","2","40.0","1","20.0","","","","","","","4","80.0","",""
"学童保育","47","5","10.6","9","19.1","1","2.1","6","12.8","22","46.8","","","19","40.4","",""
"上記以外の施設","11","1","9.1","1","9.1","1","9.1","1","9.1","3","27.3","2","18.2","2","18.2","",""
"総数","346","41","11.8","48","13.9","54","15.6","25","7.2","151","43.6","48","13.9","98","28.3","3","0.9"
"＊前回調査施設 (再掲）","270","33","12.2","33","12.2","48","17.8","17","6.3","123","45.6","44","16.3","71","26.3","3","1.1" 
