"","ある","過去ある","ない","不明","勤務なし"
"対象者数","1353","1037","1315","65","426"
"持続性せき","111","69","64","3","24"
"%","8.2","6.65","4.87","4.62","5.63"
"持続性たん","191","123","114","6","59"
"%","14.12","11.86","8.67","9.23","13.85"
"持続性せきたん","69","43","28","1","15"
"%","5.1","4.15","2.13","1.54","3.52"
"ぜんそく様症状現在","27","36","25","4","3"
"%","2","3.47","1.9","6.15","0.7"
"ぜんそく様症状寛解","31","18","34","2","7"
"%","2.29","1.74","2.59","3.08","1.64"
"ぜん鳴症状","57","33","29","6","13"
"%","4.21","3.18","2.21","9.23","3.05"
"慢性気管支炎","50","38","40","5","13"
"%","3.7","3.66","3.04","7.69","3.05"
"肺気腫","36","26","12","1","10"
"%","2.66","2.51","0.91","1.54","2.35"
"じんましん","125","120","116","8","40"
"%","9.24","11.57","8.82","12.31","9.39"
"アトピー性皮膚炎","53","43","45","1","11"
"%","3.92","4.15","3.42","1.54","2.58"
"アレルギー性鼻炎","233","221","225","10","60"
"%","17.22","21.31","17.11","15.38","14.08"
"アレルギー性結膜炎","38","38","36","0","5"
"%","2.81","3.66","2.74","0","1.17"
"花粉症","379","360","384","18","91"
"%","28.01","34.72","29.2","27.69","21.36"
"食物アレルギー","28","29","35","1","12"
"%","2.07","2.8","2.66","1.54","2.82"
