"","件数(件)","費用額(円)","保険者負担分(円)","一部負担金(円)","他法負担分(円)","被保険者１人当たりの費用額(計)(円)","被保険者１人当たりの医療給付額(高額含む)(円)"
"療養の給付等","53121450","1041943434121","759459785586","240958785031","41524863504","",""
"食事療養・生活療養(再掲)","580132","15249681473","10145397285","4973395516","130888672","",""
"療養費等／食事療養・生活療養","620","","3913709","-3913709","0","",""
"療養費等／療養費／療養費","42618","745976399","528510207","209660917","7805275","",""
"療養費等／療養費／補装具","25242","986262718","726633190","213761934","45867594","",""
"療養費等／療養費／柔道整復師","1811670","16009262307","11606211875","4007163848","395886584","",""
"療養費等／療養費／アンマ・マッサージ","60553","1893611836","1400825135","429310601","63476100","",""
"療養費等／療養費／ハリ・キュウ","63712","903011629","662769340","213139669","27102620","",""
"療養費等／療養費／その他","376","7738450","6049086","1563202","126162","",""
"療養費等／療養費／小計","2004171","20545863339","14930998833","5074600171","540264335","",""
"療養費等／療養費／海外療養費（再掲）","3825","165913682","117368192","42773978","5771512","",""
"療養費等／移送費","37","1977585","1977585","0","0","",""
"計","55126278","1062491275045","774396675713","246029471493","42065127839","307720","251899"
