"区市町村","短期入所／定員数","短期入所／人口１万人当たり","共同生活援助（グループホーム）／定員数","共同生活援助（グループホーム）／定員数／(身体)知的","共同生活援助（グループホーム）／定員数／精神","共同生活援助（グループホーム）／人口１万人当たり","障害者支援施設等／施設数","障害者支援施設等／主たる対象者／身体","障害者支援施設等／主たる対象者／知的"
"千代田区","2","0.3","8","8","","1.3","","",""
"中央区","6","0.4","54","36","18","3.6","1","","○"
"港区","5","0.2","53","41","12","2.1","1","","○"
"新宿区","15","0.4","95","44","51","2.8","2","○","○"
"文京区","10","0.4","65","48","17","2.9","1","○","○"
"台東区","12","0.6","72","54","18","3.6","1","","○"
"墨田区","11","0.4","152","129","23","5.8","","",""
"江東区","24","0.5","226","185","41","4.5","","",""
"品川区","8","0.2","68","56","12","1.7","2","○","○"
"目黒区","12","0.4","74","61","13","2.6","1","","○"
"大田区","14","0.2","304","241","63","4.2","2","○","○"
"世田谷区","43","0.5","222","129","93","2.4","1","○",""
"渋谷区","12","0.5","53","36","17","2.3","2","○","○"
"中野区","16","0.5","143","101","42","4.3","2","○","○"
"杉並区","23","0.4","283","233","50","5.0","2","○","○"
"豊島区","18","0.6","209","75","134","7.1","2","○","○"
"北区","27","0.8","129","107","22","3.7","","",""
"荒川区","14","0.7","141","67","74","6.6","","",""
"板橋区","28","0.5","232","169","63","4.1","2","○","○"
"練馬区","32","0.4","435","228","207","6.0","6","○","○"
"足立区","28","0.4","328","272","56","4.9","3","○","○"
"葛飾区","4","0.1","573","521","52","12.8","","",""
"江戸川区","21","0.3","336","223","113","4.9","2","○","○"
"八王子市","68","1.2","785","494","291","13.6","9","○","○"
"立川市","6","0.3","159","131","28","8.9","1","","○"
"武蔵野市","1","0.1","122","115","7","8.4","","",""
"三鷹市","9","0.5","183","65","118","9.7","1","","○"
"青梅市","56","4.1","175","157","18","12.8","4","○","○"
"府中市","42","1.6","176","143","33","6.7","1","○",""
"昭島市","1","0.1","63","51","12","5.7","","",""
"調布市","22","0.9","156","80","76","6.7","2","","○"
"町田市","23","0.5","367","299","68","8.5","3","○","○"
"小金井市","9","0.7","132","109","23","10.7","","",""
"小平市","38","2.0","131","119","12","6.8","3","○","○"
"日野市","28","1.5","186","166","20","9.9","5","○","○"
"東村山市","25","1.7","73","55","18","4.9","1","","○"
"国分寺市","11","0.9","113","87","26","9.1","","",""
"国立市","18","2.4","107","97","10","14.4","2","","○"
"福生市","4","0.7","94","88","6","16.1","1","","○"
"狛江市","4","0.5","46","31","15","5.7","","",""
"東大和市","32","3.8","145","133","12","17.1","","",""
"清瀬市","10","1.3","98","76","22","13.1","3","○",""
"東久留米市","8","0.7","124","105","19","10.7","1","","○"
"武蔵村山市","37","5.2","77","58","19","10.8","1","","○"
"多摩市","17","1.2","52","39","13","3.5","1","","○"
"稲城市","4","0.4","28","21","7","3.1","1","","○"
"羽村市","11","2.0","38","24","14","6.8","1","","○"
"あきる野市","30","3.7","129","123","6","16.0","2","○","○"
"西東京市","12","0.6","206","98","108","10.3","1","","○"
"瑞穂町","24","7.2","37","31","6","11.1","1","","○"
"日の出町","14","8.0","50","44","6","28.7","4","○","○"
"檜原村","6","28.3","","","","","","",""
"奥多摩町","4","7.8","16","16","","31.4","1","","○"
"大島町","4","5.2","24","24","","31.1","3","","○"
"利島村","","","","","","","","",""
"新島村","","","","","","","","",""
"神津島村","","","","","","","","",""
"三宅村","","","","","","","","",""
"御蔵島村","","","","","","","","",""
"八丈町","","","27","12","15","36.2","","",""
"青ヶ島村","","","","","","","","",""
"小笠原村","","","","","","","","",""
"合計","963","0.7","8374","6155","2219","6.1","86","22","38"
