"","総数／人","総数／％","20-29歳／人","20-29歳／％","30-39歳／人","30-39歳／％","40-49歳／人","40-49歳／％","50-59歳／人","50-59歳／％","60-69歳／人","60-69歳／％","70歳以上／人","70歳以上／％","(再掲)65-69歳／人","(再掲)65-69歳／％","(再掲)70-74歳／人","(再掲)70-74歳／％","(再掲)75-79歳／人","(再掲)75-79歳／％","(再掲)80-84歳／人","(再掲)80-84歳／％"
"男／総数","63","100","3","100","1","100","8","100","8","100","17","100","26","100","12","100","14","100","9","100","3","100"
"男／120mg／dl未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／120～140未満","3","4.8","1","33.3","0","0","0","0","0","0","1","5.9","1","3.8","1","8.3","1","7.1","0","0","0","0"
"男／140～160未満","5","7.9","1","33.3","0","0","0","0","1","12.5","2","11.8","1","3.8","2","16.7","1","7.1","0","0","0","0"
"男／160～180未満","12","19","0","0","0","0","0","0","2","25","3","17.6","7","26.9","3","25","2","14.3","5","55.6","0","0"
"男／180～200未満","15","23.8","0","0","0","0","3","37.5","2","25","4","23.5","6","23.1","1","8.3","3","21.4","3","33.3","0","0"
"男／200～220未満","10","15.9","0","0","1","100","4","50","1","12.5","1","5.9","3","11.5","1","8.3","2","14.3","0","0","1","33.3"
"男／220～240未満","9","14.3","1","33.3","0","0","0","0","1","12.5","4","23.5","3","11.5","3","25","3","21.4","0","0","0","0"
"男／240～260未満","5","7.9","0","0","0","0","0","0","0","0","0","0","5","19.2","0","0","2","14.3","1","11.1","2","66.7"
"男／260～280未満","4","6.3","0","0","0","0","1","12.5","1","12.5","2","11.8","0","0","1","8.3","0","0","0","0","0","0"
"男／280～300未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／300以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／220以上(再掲)","18","28.6","1","33.3","0","0","1","12.5","2","25","6","35.3","8","30.8","4","33.3","5","35.7","1","11.1","2","66.7"
"男／240以上(再掲)","9","14.3","0","0","0","0","1","12.5","1","12.5","2","11.8","5","19.2","1","8.3","2","14.3","1","11.1","2","66.7"
"男／平均値mg／dl","198.1","","170.3","","210","","207.5","","197.6","","198.2","","198","","191.6","","197.8","","185.4","","236.3",""
"男／標準偏差","37","","57","","0","","28.6","","41","","41.3","","34.9","","43.2","","37.8","","24.3","","25.9",""
"女／総数","92","100","4","100","2","100","25","100","15","100","26","100","20","100","17","100","5","100","12","100","3","100"
"女／120mg／dl未満","1","1.1","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","1","8.3","0","0"
"女／120～140未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"女／140～160未満","3","3.3","1","25","1","50","0","0","0","0","0","0","1","5","0","0","0","0","0","0","1","33.3"
"女／160～180未満","10","10.9","0","0","1","50","4","16","1","6.7","1","3.8","3","15","1","5.9","0","0","2","16.7","1","33.3"
"女／180～200未満","17","18.5","1","25","0","0","4","16","2","13.3","6","23.1","4","20","5","29.4","2","40","2","16.7","0","0"
"女／200～220未満","14","15.2","2","50","0","0","4","16","3","20","3","11.5","2","10","3","17.6","0","0","2","16.7","0","0"
"女／220～240未満","25","27.2","0","0","0","0","7","28","4","26.7","10","38.5","4","20","6","35.3","2","40","2","16.7","0","0"
"女／240～260未満","10","10.9","0","0","0","0","5","20","1","6.7","2","7.7","2","10","1","5.9","0","0","2","16.7","0","0"
"女／260～280未満","6","6.5","0","0","0","0","1","4","1","6.7","2","7.7","2","10","1","5.9","1","20","1","8.3","0","0"
"女／280～300未満","4","4.3","0","0","0","0","0","0","2","13.3","1","3.8","1","5","0","0","0","0","0","0","1","33.3"
"女／300以上","2","2.2","0","0","0","0","0","0","1","6.7","1","3.8","0","0","0","0","0","0","0","0","0","0"
"女／220以上(再掲)","47","51.1","0","0","0","0","13","52","9","60","16","61.5","9","45","8","47.1","3","60","5","41.7","1","33.3"
"女／240以上(再掲)","22","23.9","0","0","0","0","6","24","5","33.3","6","23.1","5","25","2","11.8","1","20","3","25","1","33.3"
"女／平均値mg／dl","217.3","","190.5","","166.5","","214.7","","230.5","","226.1","","209.4","","212.5","","221.2","","206.2","","202.7",""
"女／標準偏差","37.9","","29.3","","12","","30","","40.3","","35.8","","44.6","","25.1","","33.6","","42.6","","78.7",""
