"","症状あり又は診断有（経口負荷試験を実施した食物に記載ありn=160）／人数","症状あり又は診断有（経口負荷試験を実施した食物に記載ありn=160）／割合","症状有（経口負荷試験を実施した食物に記載ありn=159）／人数","症状有（経口負荷試験を実施した食物に記載ありn=159）／割合","診断有（経口負荷試験を実施した食物に記載ありn=158）／人数","診断有（経口負荷試験を実施した食物に記載ありn=158）／割合"
"実施した食物数／1種類","103","64.4","102","64.2","102","64.6"
"実施した食物数／2種類","30","18.8","30","18.9","30","19.0"
"実施した食物数／3種類","15","9.4","15","9.4","15","9.5"
"実施した食物数／4種類","7","4.4","7","4.4","7","4.4"
"実施した食物数／5種類","1","0.6","1","0.6","1","0.6"
"実施した食物数／6種類","0","0.0","0","0.0","0","0.0"
"実施した食物数／7種類","1","0.6","1","0.6","1","0.6"
"実施した食物数／8種類","1","0.6","1","0.6","1","0.6"
"実施した食物数／9種類","0","0.0","0","0.0","0","0.0"
"実施した食物数／10種類以上","2","1.3","2","1.3","1","0.6" 
