"障害者の採用時に重視すること","企業(n=574)(%)","就労移行支援事業所(n=134)(%)","区市町村障害者就労支援センタ及び障害者就業・生活支援センタ(n=60)(%)"
"就労意欲","75.6","94.0","96.7"
"職業遂行能力・スキル","63.1","51.5","56.7"
"健康管理","57.5","82.8","88.3"
"同僚等とのコミュニケーション能力","51.0","65.7","60.0"
"配属先部署等の社員の理解","44.4","87.3","91.7"
"利用者の障害特性と作業内容のマッチング","39.0","88.1","93.3"
"障害に応じた作業の切り出し・作業手順の整理","28.7","74.6","81.7"
"社内における支援者の配置","17.1","55.2","65.0"
"家族の協力","15.0","61.2","66.7"
"外部の関係機関との連携","12.9","54.5","60.0"
"企業トップの理解","10.1","47.0","63.3"
"企業に対する利用者の詳細情報の提供","3.0","53.0","68.3"
"その他","4.9","6.7","11.7"
"無回答","2.8","3.7","1.7"
