"","施設数","マニュアルやガイドライン等を活用／施設数","マニュアルやガイドライン等を活用／割合","所・園内での健康安全に関する会議での内容／施設数","所・園内での健康安全に関する会議での内容／割合","研修会や講演会での内容／施設数","研修会や講演会での内容／割合","緊急時を想定したシミュレーション訓練の実施／施設数","緊急時を想定したシミュレーション訓練の実施／割合","かかりつけ医・嘱託医に相談／施設数","かかりつけ医・嘱託医に相談／割合","職員間で相談／施設数","職員間で相談／割合","その他／施設数","その他／割合","無回答／施設数","無回答／割合"
"認可保育所＊","122","15","12.3","8","6.6","10","8.2","8","6.6","6","4.9","6","4.9","4","3.3","67","54.9"
"認証保育所＊","21","2","9.5","2","9.5","1","4.8","","","","","1","4.8","2","9.5","13","61.9"
"認定こども園＊","4","","","1","25.0","","","","","","","","","","","3","75.0"
"幼稚園＊","12","","","2","16.7","4","33.3","1","8.3","","","","","","","5","41.7"
"ベビーホテル","5","","","","","1","20.0","","","","","1","20.0","","","3","60.0"
"家庭的保育","7","","","","","","","","","","","","","1","14.3","6","85.7"
"学童保育","17","1","5.9","1","5.9","3","17.6","1","5.9","","","","","","","11","64.7"
"上記以外の施設","3","1","33.3","","","","","","","1","33.3","","","","","1","33.3"
"総数","191","19","9.9","14","7.3","19","9.9","10","5.2","7","3.7","8","4.2","7","3.7","109","57.1"
"＊前回調査施設 (再掲）","159","17","10.7","13","8.2","15","9.4","9","5.7","6","3.8","7","4.4","6","3.8","88","55.3" 
