"区分","卒業者(人)","進学者(人)","専修学校等入学者(人)","社会福祉施設入所者(人)","就業者(人)","在家庭者(人)","その他(人)"
"視覚障害／本科／平成25年度","24","8","0","14","2","0","0"
"視覚障害／本科／平成24年度","28","12","1","12","2","1","0"
"視覚障害／専攻科／平成25年度","19","2","0","0","10","7","0"
"視覚障害／専攻科／平成24年度","12","0","0","0","4","8","0"
"聴覚障害／本科／平成25年度","49","30","0","7","7","5","0"
"聴覚障害／本科／平成24年度","53","34","3","4","10","2","0"
"聴覚障害／専攻科／平成25年度","18","0","0","0","18","0","0"
"聴覚障害／専攻科／平成24年度","19","1","2","0","16","0","0"
"肢体不自由／平成25年度","181","4","4","155","5","12","1"
"肢体不自由／平成24年度","187","4","4","165","7","7","0"
"知的障害／平成25年度","1452","0","17","762","628","44","1"
"知的障害／平成24年度","1402","0","17","751","604","29","1"
"病弱／平成25年度","1","0","0","1","0","0","0"
"病弱／平成24年度","6","1","4","0","0","1","0"
"合計／平成25年度","1744","44","21","939","670","68","2"
"合計／平成24年度","1707","52","31","932","643","48","1"
