"","相対的貧困率／割合","相対的貧困率／順位","子どもの貧困率／割合","子どもの貧困率／順位","子どもがいる現役世代(世帯主が18歳以上65歳未満の世帯)の貧困率／合計／割合","子どもがいる現役世代(世帯主が18歳以上65歳未満の世帯)の貧困率／合計／順位","子どもがいる現役世代(世帯主が18歳以上65歳未満の世帯)の貧困率／大人が一人／割合","子どもがいる現役世代(世帯主が18歳以上65歳未満の世帯)の貧困率／大人が一人／順位","子どもがいる現役世代(世帯主が18歳以上65歳未満の世帯)の貧困率／大人が二人以上／割合","子どもがいる現役世代(世帯主が18歳以上65歳未満の世帯)の貧困率／大人が二人以上／順位"
"オーストラリア","12.4","20","11.8","16","10.1","16","38.3","19","6.5","12"
"オーストリア","6.6","4","6.2","5","5.5","5","21.2","8","4.5","5"
"ベルギー","8.8","15","10.0","10","9.0","12","25.1","10","7.3","14"
"カナダ","12.0","19","15.1","21","12.6","21","44.7","27","9.3","18"
"チェコ","5.8","3","10.3","13","7.7","9","32.0","15","5.5","7"
"デンマーク","5.3","1","2.7","1","2.2","1","6.8","1","2.0","1"
"フィンランド","7.3","9","4.2","3","3.8","4","13.7","4","2.7","3"
"フランス","7.1","6","7.6","6","6.9","7","19.3","7","5.8","8"
"ドイツ","11.0","17","16.3","23","13.2","22","41.5","25","8.6","16"
"ギリシャ","12.6","21","13.2","18","12.1","18","26.5","13","11.7","23"
"ハンガリー","7.1","6","8.7","8","7.7","9","25.2","11","6.8","13"
"アイスランド","7.1","6","8.3","7","7.3","8","17.9","5","6.2","10"
"アイルランド","14.8","26","16.3","23","13.9","23","47.0","28","10.1","21"
"イタリア","11.4","18","15.5","22","14.3","25","25.6","12","14.0","27"
"日本","14.9","27","13.7","19","12.5","19","58.7","30","10.5","22"
"韓国","14.6","24","10.2","12","9.2","13","26.7","14","8.1","15"
"ルクセンブルク","8.1","11","12.4","17","11.0","17","41.2","24","9.7","20"
"メキシコ","18.4","30","22.2","29","19.5","29","32.6","16","18.7","29"
"オランダ","7.7","10","11.5","15","9.3","14","39.0","20","6.3","11"
"ニュージーランド","10.8","16","15.0","20","12.5","19","39.1","21","9.4","19"
"ノルウェー","6.8","5","4.6","4","3.7","3","13.3","3","2.1","2"
"ポーランド","14.6","24","21.5","28","19.2","28","43.5","26","18.4","28"
"ポルトガル","12.9","22","16.6","25","14.0","24","33.4","17","13.3","24"
"スロヴァキア","8.1","11","10.9","14","10.0","15","33.5","18","9.2","17"
"スペイン","14.1","23","17.3","26","14.7","26","40.5","23","13.9","26"
"スウェーデン","5.3","1","4.0","2","3.6","2","7.9","2","2.8","4"
"スイス","8.7","14","9.4","9","5.8","6","18.5","6","4.9","6"
"トルコ","17.5","29","24.6","30","20.3","30","39.4","22","20.0","30"
"イギリス","8.3","13","10.1","11","8.9","11","23.7","9","6.1","9"
"アメリカ","17.1","28","20.6","27","17.6","27","47.5","29","13.6","25"
"OECD平均","10.6","","12.4","","10.6","","30.8","","5.4",""
