"","これまでの症状／１症状あり／通所（園）している","これまでの症状／１症状あり／通所（園）していない","これまでの症状／１症状あり／無回答","これまでの症状／１症状あり／総数","これまでの症状／２症状なし／通所（園）している","これまでの症状／２症状なし／通所（園）していない","これまでの症状／２症状なし／無回答","これまでの症状／２症状なし／総数","これまでの症状／無回答／通所（園）している","これまでの症状／無回答／通所（園）していない","これまでの症状／無回答／無回答","これまでの症状／無回答／総数"
"１呼吸器症状","437","302","65","804","1180","1272","142","2594","14","20","3","37"
"（再掲） 1回の呼吸器症状","61","61","13","135","","","","","","","",""
"2回以上の呼吸器症状","270","183","37","490","","","","","","","",""
"回数無回答","106","58","15","179","","","","","","","",""
"２食物アレルギー","354","319","44","717","1263","1264","163","2690","14","11","3","28"
"３アトピー性皮膚炎","338","276","52","666","1279","1296","153","2728","14","22","5","41"
"４アレルギー性鼻炎","377","275","53","705","1235","1300","151","2686","19","19","6","44"
"５アレルギー性結膜炎","141","116","24","281","1471","1455","181","3107","19","23","5","47"
"６じんましん","341","308","35","684","1272","1266","170","2708","18","20","5","43"
"７その他のアレルギー疾患","45","36","6","87","1549","1524","198","3271","37","34","6","77"
"何らかのアレルギーの症状あり","960","816","118","1894","669","773","91","1533","2","5","1","8" 
