"","施設数","１できた／施設数","１できた／割合","２どちらかというとできた／施設数","２どちらかというとできた／割合","３あまりできなかった／施設数","３あまりできなかった／割合","４できなかった／施設数","４できなかった／割合","無回答／施設数","無回答／割合"
"認可保育所＊","131","80","61.1","42","32.1","8","6.1","","","1","0.8"
"認証保育所＊","22","10","45.5","11","50.0","1","4.5","","","",""
"認定こども園＊","4","3","75.0","1","25.0","","","","","",""
"幼稚園＊","14","7","50.0","5","35.7","2","14.3","","","",""
"ベビーホテル","6","","","5","83.3","1","16.7","","","",""
"家庭的保育","11","4","36.4","3","27.3","3","27.3","","","1","9.1"
"学童保育","20","12","60.0","5","25.0","1","5.0","2","10.0","",""
"上記以外の施設","3","2","66.7","1","33.3","0","0.0","","","",""
"総数","211","118","55.9","73","34.6","16","7.6","2","0.9","2","0.9"
"＊前回調査施設 (再掲）","171","100","58.5","59","34.5","11","6.4","","","1","0.6"
