"変数名","オッズ比","95%信頼区間／下限","95%信頼区間／上限","99%信頼区間／下限","99%信頼区間／上限","p値"
"1)年齢(歳)","1.022","1.016","1.028","1.014","1.03","0"
"2)居住年数（年）","1.007","1.003","1.012","1.002","1.013","0.00032"
"3)アレルギ－検査結果","","","","","","0"
"3)アレルギ－検査結果／陰性","1","","","","",""
"3)アレルギ－検査結果／陽性","8.17","7.373","9.054","7.139","9.351",""
"4)距離区分","","","","","","0.2073"
"4)距離区分／100ｍ以上","1","","","","",""
"4)距離区分／50ｍ～100ｍ未満","1.149","0.966","1.367","0.914","1.443",""
"4)距離区分／50ｍ未満","0.951","0.814","1.111","0.776","1.166",""
"5)住宅構造分類","","","","","","0"
"5)住宅構造分類／木造","1","","","","",""
"5)住宅構造分類／鉄筋","1.425","1.281","1.584","1.239","1.638",""
"6)床にカーペット／じゅうたん","","","","","","0"
"6)床にカーペット／じゅうたん／なし","1","","","","",""
"6)床にカーペット／じゅうたん／あり","0.507","0.459","0.561","0.444","0.579",""
"7)居間／寝室の床にかび","","","","","","0.00802"
"7)居間／寝室の床にかび／なし","1","","","","",""
"7)居間／寝室の床にかび／あり","1.211","1.051","1.396","1.005","1.459",""
"8)暖房形態分類","","","","","","0.45682"
"8)暖房形態分類／クリーン","1","","","","",""
"8)暖房形態分類／ダーティ","1.04","0.938","1.154","0.908","1.192",""
"9)調理熱源分類","","","","","","0.17741"
"9)調理熱源分類／電気","1","","","","",""
"9)調理熱源分類／ガス","0.862","0.694","1.07","0.648","1.145",""
"10)室内ペット飼育","","","","","","0.38215"
"10)室内ペット飼育／なし","1","","","","",""
"10)室内ペット飼育／あり","1.05","0.941","1.171","0.91","1.211",""
"11)粉じん職場の経験","","","","","","0.0485"
"11)粉じん職場の経験／なし","1","","","","",""
"11)粉じん職場の経験／あり","1.748","1.004","3.043","0.843","3.622",""
"12)家での受動喫煙","","","","","","0"
"12)家での受動喫煙／なし","1","","","","",""
"12)家での受動喫煙／あり","0.669","0.597","0.75","0.576","0.777",""
"13)職場での受動喫煙","","","","","","0"
"13)職場での受動喫煙／なし","1","","","","",""
"13)職場での受動喫煙／過去にあり","1.913","1.71","2.139","1.651","2.215",""
"13)職場での受動喫煙／ある","1.466","1.274","1.686","1.219","1.762",""
"14)Brinkman Index","","","","","","0.3192"
"14)Brinkman Index／0","1","","","","",""
"14)Brinkman Index／1～400","1.235","0.946","1.612","0.87","1.752",""
"14)Brinkman Index／401～800","1.537","0.903","2.618","0.763","3.094",""
"14)Brinkman Index／801以上","1.323","0.555","3.149","0.423","4.135",""
