"調査年","青梅市","東大和市","八王子市","中野区","豊島区","品川区","足立区","総計"
"＜男子＞／7年度","349","234","236","211","327","252","282","1891"
"＜男子＞／8年度","324","238","252","231","327","266","329","1967"
"＜男子＞／9年度","298","220","226","193","285","238","308","1768"
"＜男子＞／10年度","284","242","221","168","269","225","294","1703"
"＜男子＞／11年度","279","261","206","144","241","215","293","1639"
"＜女子＞／7年度","338","230","252","221","320","230","289","1880"
"＜女子＞／8年度","344","234","231","224","342","228","289","1892"
"＜女子＞／9年度","316","237","218","211","300","231","270","1783"
"＜女子＞／10年度","292","235","220","206","272","231","241","1697"
"＜女子＞／11年度","263","224","214","193","238","204","261","1597"
"＜計＞／7年度","687","464","488","432","647","482","571","3771"
"＜計＞／8年度","668","472","483","455","669","494","618","3859"
"＜計＞／9年度","614","457","444","404","585","469","578","3551"
"＜計＞／10年度","576","477","441","374","541","456","535","3400"
"＜計＞／11年度","542","485","420","337","479","419","554","3236"
