"区市町村通番","所管地域","名称","ヨミガナ","電話番号","ＦＡＸ番号","郵便番号","住所","緯度","経度","座標系","対応時間帯","特記事項","施設種別／地域包括支援センター","施設種別／ブランチ・サブセンター","施設種別／在宅介護支援センター","施設種別／その他相談窓口","相談内容／高齢者の異変","相談内容／消費者被害のおそれ"
"1","池尻1～3、池尻4(1～32番)、三宿、太子堂、三軒茶屋、若林、世田谷、桜、弦巻、宮坂、桜丘、経堂、下馬、野沢、上馬、駒沢1・2","世田谷総合支所保健福祉課","ｾﾀｶﾞﾔｿｳｺﾞｳｼｼｮﾎｹﾝﾌｸｼｶ","03-5432-2850","03-5432-3049","154-8504","世田谷区世田谷4-21-27","35.646297","139.653458","JGD2011","平日8時30分～17時","","","","","〇","〇",""
"2","代田、梅丘、豪徳寺、代沢、池尻4（33～39番）、羽根木、大原、北沢、松原、赤堤、桜上水","北沢総合支所保健福祉課","ｷﾀｻﾞﾜｿｳｺﾞｳｼｼｮﾎｹﾝﾌｸｼｶ","03-6804-8701","03-6804-8813","155-8666","世田谷区北沢2-8-18 北沢タウンホール内","35.662132","139.669952","JGD2011","平日8時30分～17時","","","","","〇","〇",""
"3","東玉川、奥沢、玉川田園調布、玉堤、等々力、尾山台、上野毛、野毛、中町、上用賀、用賀、玉川、瀬田、玉川台、駒沢3～5、駒沢公園、新町、桜新町、深沢","玉川総合支所保健福祉課","ﾀﾏｶﾞﾜｿｳｺﾞｳｼｼｮﾎｹﾝﾌｸｼｶ","03-3702-1894","03-5707-2661","158-0094","世田谷区玉川1-20-21 玉川総合支所(仮設庁舎)二子玉川庁舎","35.641624","139.648682","JGD2011","平日8時30分～17時","改装工事にともない現在仮庁舎（平成32年5月以降新庁舎へ移転予定）","","","","〇","〇",""
"4","祖師谷、千歳台、成城、船橋、喜多見、宇奈根、鎌田、岡本、大蔵、砧、砧公園","砧総合支所保健福祉課","ｷﾇﾀｿｳｺﾞｳｼｼｮﾎｹﾝﾌｸｼｶ","03-3482-8193","03-3482-1796","157-8501","世田谷区成城6-2-1","35.641003","139.601028","JGD2011","平日8時30分～17時","","","","","〇","〇",""
"5","上北沢、八幡山、上祖師谷、粕谷、給田、南烏山、北烏山","烏山総合支所保健福祉課","ｶﾗｽﾔﾏｿｳｺﾞｳｼｼｮﾎｹﾝﾌｸｼｶ","03-3326-6136","03-3326-6154","157-8555","世田谷区南烏山6-22-14","35.669556","139.598145","JGD2011","平日8時30分～17時","","","","","〇","〇",""
"6","区内全域","高齢福祉部高齢福祉課","ｺｳﾚｲﾌｸｼﾌﾞｺｳﾚｲﾌｸｼｶ","03-5432-2407","03-5432-3085","154-8504","世田谷区世田谷4-21-27","35.646297","139.653458","JGD2011","平日8時30分～17時","東京都水道局、東京ガスから通報があった場合の連絡先","","","","〇","〇",""
"7","池尻1～3、池尻4(1～32番)、三宿","池尻あんしんすこやかセンター","ｲｹｼﾞﾘｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-5433-2512","03-3418-5261","154-0001","世田谷区池尻3-27-21 池尻まちづくりセンター内","35.650154","139.678589","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"8","太子堂、三軒茶屋1","太子堂あんしんすこやかセンター","ﾀｲｼﾄﾞｳｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-5486-9726","03-5486-9750","154-0004","世田谷区太子堂2-17-1 太子堂複合施設  2階","35.644730","139.671249","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"9","若林、三軒茶屋2","若林あんしんすこやかセンター","ﾜｶﾊﾞﾔｼｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-5431-3527","03-5431-3528","154-0023","世田谷区若林4-2-4","35.646408","139.659500","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
"10","世田谷、桜、弦巻","上町あんしんすこやかセンター","ｶﾐﾏﾁｱﾝｼﾝｽｺﾔｶｾﾝﾀｰ","03-5450-3481","03-5450-8919","154-0017","世田谷区世田谷1-23-2","35.641720","139.647949","JGD2011","平日・土曜日8時30分～17時","","〇","","","","〇",""
