"圏 域","かかりつけ医","専門医","かかりつけ眼科医","かかりつけ歯科医","その他／皮膚科","その他／整形外科","その他／透析","その他／その他"
"1／区中央部","32","13","5","65","0","0","1","0"
"2／区南部","41","11","4","0","5","5","2","1"
"3／区西南部","96","42","39","106","1","0","0","9"
"4／区西部","84","31","11","33","3","2","2","1"
"5／区西北部","261","53","31","167","3","5","3","17"
"6／区東北部","23","7","2","1","0","0","0","0"
"7／区東部","52","14","12","1","2","1","2","0"
"8／西多摩","49","8","6","30","1","0","1","1"
"9／南多摩","136","27","1","34","0","1","1","2"
"10／北多摩西部","75","12","12","93","0","1","2","5"
"11／北多摩南部","153","25","17","72","2","4","2","1"
"12／北多摩北部","102","33","19","37","4","3","6","6"
"都全域","1104","276","159","639","21","22","22","43"
