"後期計画番号","事業名","平成21年度実績","平成22年度実績","平成23年度実績","平成24年度実績","平成25年度実績","平成26年度目標","目標達成率／24年度→25年度"
"4","子供家庭総合センターの整備","建築関連法令に基づく申請・届出、工事発注・契約手続等","建設工事に着手","躯体工事、外壁工事、内装工事等を実施","建物竣工、開設","事業終了","24年度開設","100%100%"
"14","子育て短期支援事業（ショートステイ）","42区市町（18区23市1町）","45区市町（20区24市1町）","47区市町（21区25市１町）","51区市町（23区26市2町）","51区市町（23区26市2町）","62区市町村","82％→82％"
"15","一時預かり事業","年間延べ利用児童数365,638人","年間延べ利用児童数375,958人","年間延べ利用児童数423,948人","年間延べ利用児童数454,285人","年間延べ利用児童数514,205人","利用児童数40万人","116％→129％"
"16","乳児家庭全戸訪問事業（こんにちは赤ちゃん）","48区市町村（20区22市4町2村）","48区市町村（20区22市4町2村）","52区市町村（21区24市4町3村）","54区市町村（22区25市4町3村）","54区市町村（22区25市4町3村）","62区市町村","87％→87％"
"16","養育支援訪問事業","47区市町","49区市町","50区市町","52区市町（23区26市3町）","53区市町（23区26市4町）","62区市町村","84%→85%"
"17","ファミリー・サポート・センター事業","提供会員数13,229人／47区市町（22区23市2町）","提供会員数13,012人／47区市町（22区23市2町）","提供会員数：13,446人／47区市町（22区23市2町）","提供会員数：13,496人／47区市町（22区23市2町）","提供会員数：15,182人／48区市町（22区24市2町）","提供会員数13,500人","100％→112％"
"27","こども救命センターの創設","","4か所（平成22年8月27日指定、平成22年9月1日運用開始）","4か所","4か所","5か所","22年度4か所","100％→100％"
"30","周産期医療システムの整備","NICU222床","NICU264床","NICU282床","NICU291床","NICU294床","NICU320床","91％→92％"
"32","母体救命対応総合周産期母子医療センターの設置","3か所","4か所","4か所","4か所","4か所","22年度4か所","100％→100％"
"69","通常保育事業","（H22.4.1現在）保育サービス利用児童数／193,532人保育サービス利用率32.2％","（H23.4.1現在）保育サービス利用児童数202,422人8,890人増／保育サービス利用率33.2％","（H24.4.1現在）保育サービス利用児童数212,641人10,219人増／計19,109人増（平成22年4月時点からの実績）／保育サービス利用率34.6％","（H25.4.1現在）保育サービス利用児童数223,334人10,693人増／計29,802人増（平成22年4月時点からの実績）／保育サービス利用率36.0％","（H26.4.1現在）保育サービスの利用児童数234,911人11,577人増／計41,379人増（平成22年4月時点からの実績）／保育サービス利用率37.6％","平成27年4月時点保育サービス利用児童数228,500人／計画期間内に35,000人増","利用児童数達成率98％→103％／増加人数達成率85％→118％／潜在ニーズ（４４％）82％→85％"
"75","定期利用保育事業","","利用児童数14,762人／・定期利用保育事業4,440人／・特定保育事業10,322人","利用児童数：73,742人／・定期利用保育事業63,270人／・特定保育事業10,472人","利用児童数：161,405人／・定期利用保育事業151,546人／・特定保育事業9,859人","年間延べ利用児童数：210,277人／・定期利用保育事業201,360人／・特定保育事業8,917人","利用児童数40万人","40％→53％"
"77","夜間保育事業","55か所・延長保育事業（午後10時までの開所）／32か所・夜間保育所2か所・トワイライトステイ事業21か所","58か所・延長保育事業（午後10時までの開所）／33か所・夜間保育所2か所・トワイライトステイ事業23か所","59か所・延長保育事業（午後10時までの開所）／33か所・夜間保育所2か所・トワイライトステイ事業24か所","61か所・延長保育事業（午後10時までの開所）／34か所・夜間保育所3か所・トワイライトステイ事業24か所","61か所・延長保育事業（午後10時までの開所）／33か所・夜間保育所3か所・トワイライトステイ事業25か所","午後10時までの開所64か所","95％→95％"
"78","延長保育事業","延長保育実施率81.4％（うち2時間以上延長19.2％）※島しょ部を除く","延長保育実施率83.2％（うち2時間以上延長20.2％）※島しょ部を除く","延長保育実施率85.4％（うち2時間以上延長18.7％）※島しょ部を除く","延長保育実施率87.9％（うち2時間以上延長24.3％）※島しょ部を除く","延長保育実施率：88％（うち2時間以上延長：20％）＊島しょ部を除く","都内全認可保育所での実施（うち2時間以上延長3割）※島しょ部を除く","実施率達成率88％→88％／2時間以上延長達成率81％→67％"
"79","休日保育事業","52か所／23区市（13区10市）","58か所／24区市（14区10市）","57か所／23区市（13区10市）","62か所／24区市（13区11市）","63か所／24区市（13区11市）","100か所","62％→63％"
"80","病児・病後児保育事業の充実","93か所／44区市（22区22市）","103か所／45区市（23区22市）","109か所／47区市（23区24市）","117か所／48区市（23区25市）","119か所／49区市（23区26市）","140か所","84％→85％"
"81","学童クラブ運営費補助事業","登録児童数84,095人（H22.5.1現在）","登録児童数84,627人（H23.5.1現在）／H22.5.1現在との比較532人増","登録児童数84,992人（H24.5.1現在）／H22.5.1現在との比較897人増","登録児童数86,835人（H25.5.1現在）／H22.5.1現在との比較2,740人増","登録児童数89,327人（H26.5.1現在）／H22.5.1現在との比較5,232人増","登録児童数104,000人／計画期間内に20,000人増","登録児童数達成率83％→86％／増加人数達成率14％→26％"
"88","地域スポーツクラブの設立・育成支援事業","32区市町村79クラブ（17区：44クラブ、13市：33クラブ、1町：1クラブ、1村：1クラブ）","38区市町村88クラブ（19区：48クラブ、15市：36クラブ、2町：2クラブ、2村：2クラブ）","41区市町村107クラブ（19区：50クラブ、18市：53クラブ、2町：2クラブ、2村：2クラブ）","45区市町村112クラブ（21区：52クラブ、20市：56クラブ、2町：2クラブ、2村：2クラブ）","47区市町村116クラブ（21区：54クラブ、2１市：57クラブ、2町：2クラブ、3村：3クラブ）","25年度全62区市町村／28年度100クラブ","25年度目標73％→76％／28年度目標112％→116％"
"89","総合的な子供の基礎体力向上方策の推進","","全国体力・運動能力、運動習慣等調査都道府県順位【小学校】男子：34位女子：32位【中学生】男子：46位女子：41位","東京都統一体力テスト小学校の長座体前屈、50ｍ走で全国平均値（平成22年度の全国体力・運動能力、運動習慣等調査の全国平均値）を達成※平成23年度は震災の影響で全国体力・運動能力、運動習慣等調査を中止","全国体力・運動能力、運動週間等調査都道府県順位【小学生】男子：28位女子29位【中学生】男子：41位女子33位","全国体力・運動能力、運動週間等調査都道府県順位【小学生】男子：18位女子25位【中学生】男子：47位女子44位","3年後（24年度）に全国平均値／10年後（31年度）に30年前の水準に",""
"121","高等学校「家庭」における保育体験活動の充実","全日制課程122校／180校（68％）／定時制課程10校／58校（17％）","全日制課程117校／180校（65％）／定時制課程11校／58校（19％）","全日制課程118校／178校（66％）／定時制課程11校／58校（19％）","※学校経営調査（平成25年度）を実施していないため、実績把握をしていない。","（平成26年12月末までに、平成24年度、25年度の取組について調査・分析を行う。）","全都立高校において保育体験活動を実施",""
"138","養育家庭等の拡充","委託児童数388人／家庭的養護27.6％","委託児童数413人／家庭的養護28.7％","委託児童数406人／家庭的養護29.6％","委託児童数425人／家庭的養護30.4％","408人／家庭的養護30.7%","平成26年度末までに家庭的養護を社会的養護の35％にする。","87％→89％"
"139","養護児童グループホームの設置促進","116ホーム700人／家庭的養護27.6％","120ホーム724人／家庭的養護28.7％","125ホーム754人／家庭的養護の割合29.6％","129ホーム778人／家庭的養護の割合30.4％","131ホーム790人／家庭的養護30.7%","平成26年度末までに家庭的養護を社会的養護の35％にする。","87％→88％"
"149","母子家庭等自立支援教育訓練給付金事業","62区市町村","62区市町村","62区市町村","62区市町村","62区市町村","62区市町村","100％→100％"
"150","母子家庭等高等職業訓練促進給付金事業","59区市町村（23区23市5町8村）","61区市町村（23区25市5町8村）","62区市町村","62区市町村","62区市町村","62区市町村","97％→100％"
"203","信号機の導入・整備","歩車分離式信号機208か所（年度中63か所整備）／歩行者感応式信号機けやき坂下（港区）を含む20か所に整備","歩車分離式信号機255か所（年度中47か所整備）／歩行者感応式信号機根津小学校入口（台東区）を含む29か所に整備","歩車分離式信号機289か所（年度中34か所整備）／歩行者感応式信号機鶴川市民センター前（町田市）を含む3か所に整備","歩車分離式信号機353か所（年度中64か所整備）／歩行者感応式信号機日大病院入口（板橋区）を含む5か所に整備","歩車分離式信号機385か所（年度中32箇所整備）／歩行者感応式信号機千住五丁目（足立区）を含む3箇所に整備","平成22年度は既存の整備計画の枠内で実施、平成23年度以降は平成22年度の実施結果及び実態調査結果を踏まえて策定",""
"217","子育て家庭の外出環境の整備「赤ちゃん・ふらっと」","整備か所数495か所（累計581か所）","整備か所数234か所（累計815か所）","整備か所数199か所（累計1,014か所）","整備か所数117か所（累計1,129か所）※2か所廃止","整備か所数88か所（累計1,214か所）※3か所廃止","20～22年度各年度200か所",""
"227","駅施設のバリアフリー化（エレベーターの設置）","1ルート確保駅数3駅／累計89駅／106駅","1ルート確保駅数7駅／累計96駅／106駅","１ルート確保駅数3駅／累計99駅／106駅","１ルート確保駅数4駅／累計103駅／106駅","１ルート確保駅数3駅／累計106駅／106駅","24年度すべての駅でエレベーター等により1ルートを確保","97％→100％"
"228","ノンステップバスの導入","ノンステップバス104両導入／総計1,287両／ノンステップバス導入率88％（全路線バス1,464両）","ノンステップバス105両導入／総計1,376両／ノンステップバス導入率94％（全路線バス1,462両）","ノンステップバス81両導入／総計1,440両／ノンステップバス導入率98％（全路線バス1,462両）","ノンステップバス20両導入／総計1,452両／ノンステップバス導入率100％（全路線バス1,452両）","導入率100％になったため、24年度で事業終了。","24年度すべての路線バス車両に導入",""
"3区市町村相談対応力強化事業＜包括補助＞関連","子育てひろば（地域子育て支援拠点）の整備","688か所","735か所","771か所","798か所","808か所","879か所","91％→92％"
"3区市町村相談対応力強化事業＜包括補助＞関連","センター型子育てひろば（地域子育て支援拠点）","29区市（16区13市）","31区市（16区15市）","34区市（17区17市）","34区市（17区17市）","24区市（14区10市）","49区市","69％→50％"
"140児童福祉施設の整備関連","社会的養護入所等児童数","3,933人（H22.3.1現在）","3,961人（H23.3.1現在）","3,925人（H24.3.1現在）","3,960人（H25.3.1現在）","3,898人（平成26年3月1日）","4,021人","98％→97％"
"140児童福祉施設の整備関連","小規模グループケア実施","70%","81%","85%","85%","88%","100%","85％→88％"
