"上段：度数／下段：%","n=","大変満足","満足","やや満足","どちらともいえない","やや不満","不満","非常に不満","無回答","平均値"
"ＴＯＴＡＬ","8214","1080","2640","1945","1207","631","395","214","102","1.0"
"ＴＯＴＡＬ","100","13.1","32.1","23.7","14.7","7.7","4.8","2.6","1.2",""
"性別・年代／女性計","7526","1000","2446","1798","1104","565","342","187","84","1.1"
"性別・年代／女性計","100","13.3","32.5","23.9","14.7","7.5","4.5","2.5","1.1",""
"性別・年代／女性２０代","3297","468","965","775","493","273","191","108","24","1.0"
"性別・年代／女性２０代","100","14.2","29.3","23.5","15.0","8.3","5.8","3.3","0.7",""
"性別・年代／女性３０代","1612","208","547","396","240","110","68","32","11","1.1"
"性別・年代／女性３０代","100","12.9","33.9","24.6","14.9","6.8","4.2","2.0","0.7",""
"性別・年代／女性４０代","1560","220","567","354","206","106","54","30","23","1.2"
"性別・年代／女性４０代","100","14.1","36.3","22.7","13.2","6.8","3.5","1.9","1.5",""
"性別・年代／女性５０代以上","1005","97","347","263","158","73","27","15","25","1.1"
"性別・年代／女性５０代以上","100","9.7","34.5","26.2","15.7","7.3","2.7","1.5","2.5",""
"性別・年代／男性計","380","47","112","68","52","41","35","14","11","0.8"
"性別・年代／男性計","100","12.4","29.5","17.9","13.7","10.8","9.2","3.7","2.9",""
"性別・年代／男性２０代","281","36","85","55","28","32","27","9","9","0.8"
"性別・年代／男性２０代","100","12.8","30.2","19.6","10.0","11.4","9.6","3.2","3.2",""
"性別・年代／男性３０代以上","99","11","27","13","24","9","8","5","2","0.6"
"性別・年代／男性３０代以上","100","11.1","27.3","13.1","24.2","9.1","8.1","5.1","2.0",""
"性別・年代／無回答","308","33","82","79","51","25","18","13","7","0.8"
"性別・年代／無回答","100","10.7","26.6","25.6","16.6","8.1","5.8","4.2","2.3",""
