"上段：度数／下段：%","n=","大変満足","満足","やや満足","どちらともいえない","やや不満","不満","非常に不満","無回答","平均値"
"ＴＯＴＡＬ","8214","250","950","1051","1224","1388","1342","1263","746","-0.6"
"ＴＯＴＡＬ","100","3.0","11.6","12.8","14.9","16.9","16.3","15.4","9.1",""
"性別・年代／女性計","7526","236","895","987","1128","1289","1199","1122","670","-0.5"
"性別・年代／女性計","100","3.1","11.9","13.1","15.0","17.1","15.9","14.9","8.9",""
"性別・年代／女性２０代","3297","83","265","371","468","610","628","578","294","-0.8"
"性別・年代／女性２０代","100","2.5","8.0","11.3","14.2","18.5","19.0","17.5","8.9",""
"性別・年代／女性３０代","1612","40","188","193","236","274","278","276","127","-0.7"
"性別・年代／女性３０代","100","2.5","11.7","12.0","14.6","17.0","17.2","17.1","7.9",""
"性別・年代／女性４０代","1560","74","256","243","246","251","180","182","128","-0.1"
"性別・年代／女性４０代","100","4.7","16.4","15.6","15.8","16.1","11.5","11.7","8.2",""
"性別・年代／女性５０代以上","1005","39","178","171","172","147","104","81","113","0.1"
"性別・年代／女性５０代以上","100","3.9","17.7","17.0","17.1","14.6","10.3","8.1","11.2",""
"性別・年代／男性計","380","8","16","32","45","49","94","97","39","-1.3"
"性別・年代／男性計","100","2.1","4.2","8.4","11.8","12.9","24.7","25.5","10.3",""
"性別・年代／男性２０代","281","4","12","25","29","34","74","71","32","-1.3"
"性別・年代／男性２０代","100","1.4","4.3","8.9","10.3","12.1","26.3","25.3","11.4",""
"性別・年代／男性３０代以上","99","4","4","7","16","15","20","26","7","-1.2"
"性別・年代／男性３０代以上","100","4.0","4.0","7.1","16.2","15.2","20.2","26.3","7.1",""
"性別・年代／無回答","308","6","39","32","51","50","49","44","37","-0.6"
"性別・年代／無回答","100","1.9","12.7","10.4","16.6","16.2","15.9","14.3","12.0",""
