"市部／全26市","市部／子供家庭支援センター","市部／子育てひろば（地域子育て支援拠点）","市部／ショートステイ","市部／トワイライトステイ","市部／一時預かり事業","市部／病児・病後児保育","市部／ファミリー・サポート・センター"
"実施市数","26","26","26","8","26","26","26"
"八王子市","○","○","○","○","○","○","○"
"立川市","○","○","○","","○","○","○"
"武蔵野市","○","○","○","","○","○","〇"
"三鷹市","○","○","○","○","○","○","○"
"青梅市","○","○","○","","○","○","○"
"府中市","○","○","○","○","○","○","○"
"昭島市","○","○","○","○","○","○","○"
"調布市","○","○","○","○","○","○","○"
"町田市","○","○","○","○","○","○","○"
"小金井市","○","○","○","","○","○","○"
"小平市","○","○","○","","○","○","○"
"日野市","○","○","○","○","○","○","○"
"東村山市","○","○","○","","○","○","○"
"国分寺市","○","○","○","","○","○","○"
"国立市","○","○","○","○","○","○","○"
"福生市","○","○","○","","○","○","○"
"狛江市","○","○","○","","○","○","○"
"東大和市","○","○","○","","○","○","○"
"清瀬市","○","○","○","","○","○","○"
"東久留米市","○","○","○","","○","○","○"
"武蔵村山市","○","○","○","","○","○","○"
"多摩市","○","○","○","","○","○","○"
"稲城市","○","○","○","","○","○","○"
"羽村市","○","○","○","","○","○","○"
"あきる野市","○","○","○","","○","○","○"
"西東京市","○","○","○","","○","○","○"
