"","あり","なし"
"対象者数","297","3661"
"持続性せき","17","235"
"%","5.72","6.42"
"持続性たん","37","427"
"%","12.46","11.66"
"持続性せきたん","11","135"
"%","3.7","3.69"
"ぜんそく様症状現在","7","77"
"%","2.36","2.1"
"ぜんそく様症状寛解","8","84"
"%","2.69","2.29"
"ぜん鳴症状","11","117"
"%","3.7","3.2"
"慢性気管支炎","7","128"
"%","2.36","3.5"
"肺気腫","4","75"
"%","1.35","2.05"
"じんましん","34","353"
"%","11.45","9.64"
"アトピー性皮膚炎","14","134"
"%","4.71","3.66"
"アレルギー性鼻炎","54","677"
"%","18.18","18.49"
"アレルギー性結膜炎","6","104"
"%","2.02","2.84"
"花粉症","84","1104"
"%","28.28","30.16"
"食物アレルギー","9","91"
"%","3.03","2.49"
