"","総数／人","総数／％","20-29歳／人","20-29歳／％","30-39歳／人","30-39歳／％","40-49歳／人","40-49歳／％","50-59歳／人","50-59歳／％","60-69歳／人","60-69歳／％","70歳以上／人","70歳以上／％","(再掲)65-69歳／人","(再掲)65-69歳／％","(再掲)70-74歳／人","(再掲)70-74歳／％","(再掲)75-79歳／人","(再掲)75-79歳／％","(再掲)80-84歳／人","(再掲)80-84歳／％"
"男／総数","56","100","3","100","1","100","8","100","6","100","16","100","22","100","11","100","2","100","8","100","2","100"
"男／30mg／dl未満","1","1.8","0","0","0","0","0","0","0","0","1","6.3","0","0","1","9.1","0","0","0","0","0","0"
"男／30～40未満","5","8.9","0","0","0","0","0","0","1","16.7","1","6.3","3","13.6","1","9.1","3","25","0","0","0","0"
"男／40～50未満","13","23.2","0","0","0","0","2","25","3","50","4","25","4","18.2","1","9.1","1","8.3","2","25","1","50"
"男／50～60未満","15","26.8","0","0","0","0","4","50","2","33.3","3","18.8","6","27.3","3","27.3","2","16.7","4","50","0","0"
"男／60～70未満","11","19.6","2","66.7","0","0","1","12.5","0","0","2","12.5","6","27.3","1","9.1","3","25","2","25","1","50"
"男／70～80未満","7","12.5","0","0","1","100","0","0","0","0","4","25","2","9.1","3","27.3","2","16.7","0","0","0","0"
"男／80～90未満","1","1.8","0","0","0","0","0","0","0","0","0","0","1","4.5","0","0","1","8.3","0","0","0","0"
"男／90～100未満","2","3.6","1","33.3","","","1","12.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／100以上","1","1.8","0","0","0","0","0","0","0","0","1","6.3","0","0","1","9.1","0","0","0","0","0","0"
"男／40以上(再掲)","50","89.3","3","100","1","100","8","100","5","83.3","14","87.5","19","86.4","9","81.8","9","75","8","100","2","100"
"男／平均値mg／dl","57","","71","","71","","58.3","","45.5","","58.6","","56","","60.1","","56.5","","55.5","","54.5",""
"男／標準偏差","15.7","","16.5","","0","","16.8","","7.8","","18.7","","13.4","","20.8","","17.5","","6","","12",""
"女／総数","81","100","4","100","2","100","24","100","13","100","22","100","16","100","14","100","5","100","9","100","2","100"
"女／30mg／dl未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"女／30～40未満","1","1.2","0","0","0","0","0","0","0","0","0","0","1","6.3","0","0","0","0","1","11.1","0","0"
"女／40～50未満","6","7.4","0","0","0","0","1","4.2","1","7.7","0","0","4","25","0","0","2","40","2","22.2","0","0"
"女／50～60未満","12","14.8","1","25","0","0","2","8.3","2","15.4","5","22.7","2","12.5","3","21.4","0","0","1","11.1","1","50"
"女／60～70未満","24","29.6","1","25","0","0","7","29.2","5","38.5","6","27.3","5","31.3","4","28.6","1","20","4","44.4","0","0"
"女／70～80未満","16","19.8","1","25","1","50","7","29.2","1","7.7","6","27.3","0","0","5","35.7","0","0","0","0","0","0"
"女／80～90未満","14","17.3","0","0","0","0","6","25","3","23.1","3","13.6","2","12.5","2","14.3","0","0","1","11.1","1","50"
"女／90～100未満","2","2.5","1","25","0","0","0","0","0","0","0","0","1","6.3","0","0","1","20","0","0","0","0"
"女／100以上","6","7.4","0","0","1","50","1","4.2","1","7.7","2","9.1","1","6.3","0","0","1","20","0","0","0","0"
"女／40以上(再掲)","80","98.8","4","100","2","100","24","100","13","100","22","100","15","93.8","14","100","5","100","8","88.9","2","100"
"女／平均値mg／dl","70.6","","71.3","","86.5","","73","","71.5","","72","","62.1","","68.4","","67.8","","57.8","","67.5",""
"女／標準偏差","17.4","","16.9","","19.1","","15.3","","19.3","","16.5","","19.6","","10.5","","26.8","","15.3","","24.7",""
