"","症状有または診断有（経口負荷試験を実施した食物に記載ありn=160）／人数","症状有または診断有（経口負荷試験を実施した食物に記載ありn=160）／割合","症状有（経口負荷試験を実施した食物に記載ありn=159）／人数","症状有（経口負荷試験を実施した食物に記載ありn=159）／割合","診断有（経口負荷試験を実施した食物に記載ありn=158）／人数","診断有（経口負荷試験を実施した食物に記載ありn=158）／割合"
"食物名／１、卵","126","78.8","125","78.6","124","78.5"
"食物名／２、牛乳","52","32.5","52","32.7","51","32.3"
"食物名／３、小麦","34","21.3","34","21.4","33","20.9"
"食物名／４、そば","5","3.1","5","3.1","4","2.5"
"食物名／５、落花生","10","6.3","10","6.3","9","5.7"
"食物名／６、えび","4","2.5","4","2.5","3","1.9"
"食物名／７、かに","4","2.5","4","2.5","3","1.9"
"食物名／８、いくら","0","0.0","0","0.0","0","0.0"
"食物名／９、あわび","0","0.0","0","0.0","0","0.0"
"食物名／10、牛肉","1","0.6","1","0.6","0","0.0"
"食物名／11、いか","0","0.0","0","0.0","0","0.0"
"食物名／12、キウイ","2","1.3","2","1.3","2","1.3"
"食物名／13、オレンジ","0","0.0","0","0.0","0","0.0"
"食物名／14、くるみ","1","0.6","1","0.6","1","0.6"
"食物名／15、鶏肉","3","1.9","3","1.9","2","1.3"
"食物名／16、さけ","2","1.3","2","1.3","1","0.6"
"食物名／17、さば","2","1.3","2","1.3","2","1.3"
"食物名／18、大豆","12","7.5","12","7.5","11","7.0"
"食物名／19、豚肉","0","0.0","0","0.0","0","0.0"
"食物名／20、まつたけ","0","0.0","0","0.0","0","0.0"
"食物名／21、もも","1","0.6","1","0.6","1","0.6"
"食物名／22、やまいも","1","0.6","1","0.6","1","0.6"
"食物名／23、りんご","1","0.6","1","0.6","1","0.6"
"食物名／24、グミ・ゼラチン","0","0.0","0","0.0","0","0.0"
"食物名／25、バナナ","1","0.6","1","0.6","1","0.6"
"食物名／26、ごま","6","3.8","6","3.8","6","3.8"
"食物名／27、カシューナッツ","3","1.9","3","1.9","3","1.9"
"食物名／28、米","1","0.6","1","0.6","1","0.6"
"食物名／29、その他","9","5.6","9","5.7","8","5.1" 
