"支出／科目","支出／支出額(円)","支出／(再掲)介護分(円)","支出／(再掲)後期高齢者支援金等分(円)"
"総務費","15767701154","",""
"保険給付費／一般被保険者分／療養給付費","518453318926","",""
"保険給付費／一般被保険者分／療養費","11402949508","",""
"保険給付費／一般被保険者分／小計","529856268434","",""
"保険給付費／一般被保険者分／高額療養費","64962954872","",""
"保険給付費／一般被保険者分／高額介護合算療養費","61958527","",""
"保険給付費／一般被保険者分／移送費","1394282","",""
"保険給付費／一般被保険者分／出産育児諸費","5081838544","",""
"保険給付費／一般被保険者分／葬祭諸費","778120000","",""
"保険給付費／一般被保険者分／育児諸費","0","",""
"保険給付費／一般被保険者分／その他","631379201","",""
"保険給付費／一般被保険者分／計","601373913860","",""
"保険給付費／退職分／療養給付費療養費","15182645690","",""
"保険給付費／退職分／高額療養費","2297543420","",""
"保険給付費／退職分／高額介護合算療養費","2373007","",""
"保険給付費／退職分／移送費","58161","",""
"保険給付費／退職分／小計","17482620278","",""
"保険給付費／審査支払手数料","2150710593","",""
"保険給付費／計","621007244731","",""
"後期高齢者支援金等／後期高齢者支援金","133377252749","",""
"後期高齢者支援金等／事務費拠出金","8855749","",""
"後期高齢者支援金等／計","133386108498","","133386108498"
"前期高齢者納行金等／前期高齢者納付金","82162076","",""
"前期高齢者納行金等／事務費拠出金","9108766","",""
"前期高齢者納行金等／計","91270842","",""
"老人保健拠出金／医療費拠出金","12658","",""
"老人保健拠出金事務費拠出金","4651632","",""
"老人保健拠出金計","4664290","",""
"介護納付金","54266109273","54266109273",""
"共同事業拠出金／高額医療費共同事業拠出金","25492704509","",""
"共同事業拠出金／保険財政共同安定化事業拠出金","239838470041","",""
"共同事業拠出金／その他","127127","",""
"保健事業費／特定健康診査等事業費","8194673457","",""
"保健事業費／保健事業費","506366070","",""
"保健事業費／健康管理センター事業費","0","",""
"直診勘定繰出金","0","",""
"その他の支出","13842868134","97455111","43929932"
"小計（単年度支出）","1112398308126","54363564384","133430038430"
"単年度収支差引額","-2663348539","-5960004927","-31072154365"
"単年度黒字額（11）","1717287838","",""
"単年度赤字額（12）","4380636377","",""
"基金等積立金","0","",""
"前年度繰上充用金","0","",""
"公債費(組合債費)","0","",""
"支出合計","1112398308126","",""
"収支状況／黒字額(23)","19493146151","",""
"収支状況／うち次年度への繰越金","19493146151","",""
"収支状況／うち基金等積立金","0","",""
"収支状況／赤字額(0)","0","",""
"収支状況／収支差引額","19493146151","",""
"基金等保有額","158104771","",""
"市町村債(組合債)残高","0","",""
