"","家庭食／件数","家庭食／(%)","調理済み食／件数","調理済み食／(%)","外食／件数","外食／(%)","給食／保育所･幼稚園給食､学校給食／件数","給食／保育所･幼稚園給食､学校給食／(%)","給食／職場給食／件数","給食／職場給食／(%)","給食／小計／件数","給食／小計／(%)","その他／(その他1)菓子･果物､乳製品､嗜好飲料などの食品のみを食べた場合／件数","その他／(その他1)菓子･果物､乳製品､嗜好飲料などの食品のみを食べた場合／(%)","その他／(その他2)錠剤などのサプリメント､栄養ドリンク剤のみの場合／件数","その他／(その他2)錠剤などのサプリメント､栄養ドリンク剤のみの場合／(%)","その他／(欠食)食事をしなかった場合／件数","その他／(欠食)食事をしなかった場合／(%)","その他／小計／件数","その他／小計／(%)","不明／件数","不明／(%)","合計／件数","合計／(%)"
"全体総数","894","70.3","108","8.5","125","9.8","44","3.5","21","1.7","65","5.1","50","3.9","1","0.1","28","2.2","79","6.2","0","0","1271","100"
"1-6歳","37","72.5","2","3.9","1","2","11","21.6","0","0","11","21.6","0","0","0","0","0","0","0","0","0","0","51","100"
"7-14歳","76","70.4","2","1.9","0","0","30","27.8","0","0","30","27.8","0","0","0","0","0","0","0","0","0","0","108","100"
"15-19歳","53","80.3","2","3","6","9.1","2","3","0","0","2","3","1","1.5","0","0","2","3","3","4.5","0","0","66","100"
"20-29歳","50","66.7","4","5.3","13","17.3","0","0","2","2.7","2","2.7","3","4","0","0","3","4","6","8","0","0","75","100"
"30-39歳","54","52.9","13","12.7","19","18.6","0","0","2","2","2","2","7","6.9","0","0","7","6.9","4","13.7","0","0","102","100"
"40-49歳","145","71.1","16","7.8","20","9.8","0","0","6","2.9","6","2.9","10","4.9","0","0","7","3.4","7","8.3","0","0","204","100"
"50-59歳","111","63.8","13","7.5","25","14.4","0","0","9","5.2","9","5.2","11","6.3","1","0.6","4","2.3","6","9.2","0","0","174","100"
"60-69歳","150","70.8","23","10.8","26","12.3","0","0","2","0.9","2","0.9","9","4.2","0","0","2","0.9","1","5.2","0","0","212","100"
"70歳以上","218","78.1","33","11.8","15","5.4","1","0.4","0","0","1","0.4","9","3.2","0","0","3","1.1","2","4.3","0","0","279","100"
"男性総数","402","66.8","39","6.5","79","13.1","26","4.3","14","2.3","40","6.6","24","4","0","0","18","3","42","7","0","0","602","100"
"1-6歳","25","75.8","0","0","1","3","7","21.2","0","0","7","21.2","0","0","0","0","0","0","0","0","0","0","33","100"
"7-14歳","38","66.7","1","1.8","0","0","18","31.6","0","0","18","31.6","0","0","0","0","0","0","0","0","0","0","57","100"
"15-19歳","24","80","1","3.3","5","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","100"
"20-29歳","26","61.9","2","4.8","10","23.8","0","0","1","2.4","1","2.4","1","2.4","0","0","2","4.8","3","7.1","0","0","42","100"
"30-39歳","28","46.7","6","10","13","21.7","0","0","2","3.3","2","3.3","5","8.3","0","0","6","10","11","18.3","0","0","60","100"
"40-49歳","41","62.1","4","6.1","8","12.1","0","0","3","4.5","3","4.5","4","6.1","0","0","6","9.1","10","15.2","0","0","66","100"
"50-59歳","52","59.8","5","5.7","17","19.5","0","0","8","9.2","8","9.2","4","4.6","0","0","1","1.1","5","5.7","0","0","87","100"
"60-69歳","62","67.4","9","9.8","16","17.4","0","0","0","0","0","0","4","4.3","0","0","1","1.1","5","5.4","0","0","92","100"
"70歳以上","106","78.5","11","8.1","9","6.7","1","0.7","0","0","1","0.7","6","4.4","0","0","2","1.5","8","5.9","0","0","135","100"
"女性総数","492","73.5","69","10.3","46","6.9","18","2.7","7","1","25","3.7","26","3.9","1","0.1","10","1.5","37","5.5","0","0","669","100"
"1-6歳","12","66.7","2","11.1","0","0","4","22.2","0","0","4","22.2","0","0","0","0","0","0","0","0","0","0","18","100"
"7-14歳","38","74.5","1","2","0","0","12","23.5","0","0","12","23.5","0","0","0","0","0","0","0","0","0","0","51","100"
"15-19歳","29","80.6","1","2.8","1","2.8","2","5.6","0","0","2","5.6","1","2.8","0","0","2","5.6","3","8.3","0","0","36","100"
"20-29歳","24","72.7","2","6.1","3","9.1","0","0","1","3","1","3","2","6.1","0","0","1","3","3","9.1","0","0","33","100"
"30-39歳","26","61.9","7","16.7","6","14.3","0","0","0","0","0","0","2","4.8","0","0","1","2.4","3","7.1","0","0","42","100"
"40-49歳","104","75.4","12","8.7","12","8.7","0","0","3","2.2","3","2.2","6","4.3","0","0","1","0.7","7","5.1","0","0","138","100"
"50-59歳","59","67.8","8","9.2","8","9.2","0","0","1","1.1","1","1.1","7","8","1","1.1","3","3.4","11","12.6","0","0","87","100"
"60-69歳","88","73.3","14","11.7","10","8.3","0","0","2","1.7","2","1.7","5","4.2","0","0","1","0.8","6","5","0","0","120","100"
"70歳以上","112","77.8","22","15.3","6","4.2","0","0","0","0","0","0","3","2.1","0","0","1","0.7","4","2.8","0","0","144","100"
