"","青梅市","青梅市(%)","東大和市","東大和市(%)","八王子市","八王子市(%)","中野区","中野区(%)","豊島区","豊島区(%)","品川区","品川区(%)","足立区","足立区(%)","p値"
"持続性せき／7年度","8","2.3","4","1.7","3","1.3","6","2.8","7","2.1","4","1.6","5","1.8",""
"持続性せき／8年度","7","2.2","3","1.3","7","2.8","7","3.0","8","2.4","3","1.1","8","2.4",""
"持続性せき／9年度","7","2.3","6","2.7","5","2.2","8","4.1","4","1.4","5","2.1","5","1.6",""
"持続性せき／10年度","4","1.4","5","2.1","7","3.2","2","1.2","7","2.6","9","4.0","8","2.7",""
"持続性せき／11年度","2","0.7","3","1.1","6","2.9","4","2.8","5","2.1","6","2.8","8","2.7","0.626"
"持続性たん／7年度","7","2.0","3","1.3","4","1.7","3","1.4","6","1.8","3","1.2","7","2.5",""
"持続性たん／8年度","9","2.8","1","0.4","2","0.8","6","2.6","1","0.3","2","0.8","5","1.5",""
"持続性たん／9年度","8","2.7","4","1.8","5","2.2","6","3.1","2","0.7","3","1.3","5","1.6",""
"持続性たん／10年度","3","1.1","4","1.7","2","0.9","2","1.2","6","2.2","6","2.7","6","2.0",""
"持続性たん／11年度","1","0.4","2","0.8","3","1.5","1","0.7","4","1.7","5","2.3","7","2.4","0.554"
"ぜい鳴／7年度","16","4.6","19","8.1","18","7.6","12","5.7","22","6.7","9","3.6","15","5.3",""
"ぜい鳴／8年度","14","4.3","20","8.4","21","8.3","18","7.8","20","6.1","10","3.8","17","5.2",""
"ぜい鳴／9年度","19","6.4","18","8.2","12","5.3","17","8.8","15","5.3","18","7.6","17","5.5",""
"ぜい鳴／10年度","21","7.4","13","5.4","15","6.8","9","5.4","12","4.5","13","5.8","20","6.8",""
"ぜい鳴／11年度","23","8.2","19","7.3","7","3.4","12","8.3","19","7.9","13","6.0","11","3.8","0.184"
"ぜん息様症状(現在)／7年度","35","10.0","19","8.1","23","9.7","21","10.0","39","11.9","22","8.7","25","8.9",""
"ぜん息様症状(現在)／8年度","30","9.3","20","8.4","15","6.0","28","12.1","32","9.8","19","7.1","24","7.3",""
"ぜん息様症状(現在)／9年度","33","11.1","23","10.5","22","9.7","21","10.9","23","8.1","18","7.6","14","4.5",""
"ぜん息様症状(現在)／10年度","18","6.3","25","10.3","21","9.5","24","14.3","25","9.3","29","12.9","21","7.1",""
"ぜん息様症状(現在)／11年度","19","6.8","25","9.6","16","7.8","16","11.1","22","9.1","22","10.2","23","7.8","0.014"
"鼻炎様症状（一年中）／7年度","24","6.9","12","5.1","18","7.6","12","5.7","21","6.4","22","8.7","21","7.4",""
"鼻炎様症状（一年中）／8年度","19","5.9","17","7.1","16","6.3","18","7.8","28","8.6","17","6.4","30","9.1",""
"鼻炎様症状（一年中）／9年度","11","3.7","16","7.3","16","7.1","12","6.2","24","8.4","17","7.1","21","6.8",""
"鼻炎様症状（一年中）／10年度","19","6.7","13","5.4","12","5.4","19","11.3","14","5.2","20","8.9","23","7.8",""
"鼻炎様症状（一年中）／11年度","22","7.9","11","4.2","18","8.7","11","7.6","19","7.9","15","7.0","25","8.5","0.251"
"鼻炎様症状（春）／7年度","84","24.1","34","14.5","51","21.6","36","17.1","47","14.4","36","14.3","38","13.5",""
"鼻炎様症状（春）／8年度","72","22.2","29","12.2","44","17.5","38","16.5","39","11.9","26","9.8","38","11.6",""
"鼻炎様症状（春）／9年度","67","22.5","31","14.1","46","20.4","34","17.6","40","14.0","29","12.2","41","13.3",""
"鼻炎様症状（春）／10年度","54","19.0","33","13.6","49","22.2","24","14.3","38","14.1","25","11.1","40","13.6",""
"鼻炎様症状（春）／11年度","49","17.6","44","16.9","54","26.2","23","16.0","44","18.3","31","14.4","41","14.0","0.000"
