"","件数(件)","日数(日)","費用額(円)","受診率(%)","1件当り日数","1日当り費用額","1人当り費用額","1件当り費用額"
"退職被保険者分／診療費／入院","5490","70012","3224738103","21.276","12.75","46060","124970","587384"
"退職被保険者分／診療費／入院外","222063","344965","3568884037","860.576","1.55","10346","138307","16071"
"退職被保険者分／診療費／歯科","54879","106167","684178300","212.676","1.93","6444","26514","12467"
"退職被保険者分／診療費／小計","282432","521144","7477800440","1094.528","1.85","14349","289792","26476"
"退職被保険者分／調剤","156323","187854","2011360839","","","","",""
"退職被保険者分／食事療養","5117","171628","116354765","19.830","33.54","678","4509","22739"
"退職被保険者分／訪問看護","823","5391","61418770","3.189","6.55","11393","2380","74628"
"退職被保険者分／合計A","439578","526535","9666934814","","","","",""
"被扶養者分／診療費／入院","1511","21353","860205406","16.597","14.13","40285","94487","569295"
"被扶養者分／診療費／入院外","97660","150968","1244494275","1072.715","1.55","8243","136698","12743"
"被扶養者分／診療費／歯科","29182","55340","338101880","320.540","1.90","6110","37138","11586"
"被扶養者分／診療費／小計","128353","227661","2442801561","1409.853","1.77","10730","268322","19032"
"被扶養者分／調剤","69799","85391","787158672","","","","",""
"被扶養者分／食事療養","1396","53303","35652532","15.334","38.18","669","3916","25539"
"被扶養者分／訪問看護","513","3143","38850710","5.635","6.13","12361","4267","75732"
"被扶養者分／合計B","198665","230804","3304463475","","","","",""
"合計A+B","638243","757339","12971398289","","","","",""
"退職医療計／診療費／入院","7001","91365","4084943509","20.056","13.05","44710","117020","583480"
"退職医療計／診療費／入院外","319723","495933","4813378312","915.902","1.55","9706","137888","15055"
"退職医療計／診療費／歯科","84061","161507","1022280180","240.807","1.92","6330","29285","12161"
"退職医療計／診療費／小計","410785","748805","9920602001","1176.765","1.82","13249","284193","24150"
"退職医療計／調剤","226122","273245","2798519511","","","","",""
"退職医療計／食事療養","6513","224931","152007297","18.658","34.54","676","4355","23339"
"退職医療計／訪問看護","1336","8534","100269480","3.827","6.39","11749","2872","75052"
