"年齢","人","平均値(mg)","標準偏差(mg)","パーセンタイル／1(mg)","パーセンタイル／5(mg)","パーセンタイル／10(mg)","パーセンタイル／25(mg)","パーセンタイル／50(中央値)(mg)","パーセンタイル／75(mg)","パーセンタイル／90(mg)","パーセンタイル／95(mg)","パーセンタイル／99(mg)"
"男性総数","205","503","247","86","174","213","319","464","653","817","970","1157"
"1～2歳","4","418","233","94","137","191","352","493","560","586","595","602"
"3～5歳","5","390","70","301","310","321","356","394","414","458","473","485"
"6～7歳","6","643","420","185","229","285","411","577","737","1067","1226","1353"
"8～9歳","3","623","102","509","523","540","592","678","682","685","686","686"
"10～11歳","5","627","70","528","539","553","596","639","677","691","695","699"
"12～14歳","8","610","253","147","250","380","497","629","770","887","892","896"
"15～17歳","6","632","309","262","278","297","403","646","777","951","1024","1082"
"18～29歳","20","474","278","177","205","224","287","336","623","808","911","1160"
"30～49歳","42","394","181","111","138","180","261","372","501","612","711","807"
"50～69歳","60","527","255","179","190","216","323","487","685","898","1043","1131"
"70歳以上","46","527","244","55","216","279","370","480","653","898","1002","1114"
"女性総数","228","516","282","106","173","237","328","449","646","875","1016","1314"
"1～2歳","3","619","242","461","464","468","479","498","698","818","857","889"
"3～5歳","2","384","138","288","296","305","335","384","432","462","472","479"
"6～7歳","6","461","113","355","360","366","379","418","536","598","614","628"
"8～9歳","4","637","256","373","385","399","442","654","849","860","864","867"
"10～11歳","1","740","0","740","740","740","740","740","740","740","740","740"
"12～14歳","8","504","211","205","251","310","368","452","712","737","759","776"
"15～17歳","7","480","216","283","286","289","331","423","546","725","811","880"
"18～29歳","17","519","431","198","244","270","295","388","549","812","1243","1845"
"30～49歳","60","450","222","120","159","200","295","390","583","708","869","1057"
"50～69歳","71","591","324","140","183","243","341","555","771","1022","1111","1505"
"70歳以上","49","486","245","54","168","235","312","447","604","803","935","1097"
"(再掲)妊婦","1","598","0","598","598","598","598","598","598","598","598","598"
"授乳婦","1","570","0","570","570","570","570","570","570","570","570","570"
