"上段：度数／下段：%","n=","認可保育所","認証保育所（Ａ型）","認証保育所（Ｂ型）","認定こども園","事業所内保育所","院内保育所","子育て広場","学童クラブ","家庭的保育者（保育ママ）","児童福祉施設（保育所を除く）","ベビーホテル","その他","無回答"
"ＴＯＴＡＬ","8214","5267","753","147","230","169","148","103","260","101","236","29","643","128"
"ＴＯＴＡＬ","100","64.1","9.2","1.8","2.8","2.1","1.8","1.3","3.2","1.2","2.9","0.4","7.8","1.6"
"性別・年代／女性計","7526","4844","687","138","213","161","139","99","221","92","187","28","597","120"
"性別・年代／女性計","100","64.4","9.1","1.8","2.8","2.1","1.8","1.3","2.9","1.2","2.5","0.4","7.9","1.6"
"性別・年代／女性２０代","3297","2386","259","53","106","33","31","8","77","6","102","3","173","60"
"性別・年代／女性２０代","100","72.4","7.9","1.6","3.2","1.0","0.9","0.2","2.3","0.2","3.1","0.1","5.2","1.8"
"性別・年代／女性３０代","1612","1046","161","28","32","45","29","16","60","13","32","5","127","18"
"性別・年代／女性３０代","100","64.9","10.0","1.7","2.0","2.8","1.8","1.0","3.7","0.8","2.0","0.3","7.9","1.1"
"性別・年代／女性４０代","1560","833","167","42","53","45","43","44","32","39","40","14","183","25"
"性別・年代／女性４０代","100","53.4","10.7","2.7","3.4","2.9","2.8","2.8","2.1","2.5","2.6","0.9","11.7","1.6"
"性別・年代／女性５０代以上","1005","553","91","15","18","36","35","31","52","31","13","6","108","16"
"性別・年代／女性５０代以上","100","55.0","9.1","1.5","1.8","3.6","3.5","3.1","5.2","3.1","1.3","0.6","10.7","1.6"
"性別・年代／男性計","380","217","41","2","10","2","2","2","30","3","41","1","24","5"
"性別・年代／男性計","100","57.1","10.8","0.5","2.6","0.5","0.5","0.5","7.9","0.8","10.8","0.3","6.3","1.3"
"性別・年代／男性２０代","281","177","27","1","9","1","0","2","21","1","30","0","11","1"
"性別・年代／男性２０代","100","63.0","9.6","0.4","3.2","0.4","0.0","0.7","7.5","0.4","10.7","0.0","3.9","0.4"
"性別・年代／男性３０代以上","99","40","14","1","1","1","2","0","9","2","11","1","13","4"
"性別・年代／男性３０代以上","100","40.4","14.1","1.0","1.0","1.0","2.0","0.0","9.1","2.0","11.1","1.0","13.1","4.0"
"性別・年代／無回答","308","206","25","7","7","6","7","2","9","6","8","0","22","3"
"性別・年代／無回答","100","66.9","8.1","2.3","2.3","1.9","2.3","0.6","2.9","1.9","2.6","0.0","7.1","1.0"
