"支出月","科目","支出目的","支出額(円)","支出相手先"
"H23/09","負担金補助及び交付金","補助金交付","120000000","（福）平成記念会"
"H23/09","負担金補助及び交付金","補助金交付","38628000","大田区"
"H23/12","負担金補助及び交付金","補助金交付","84401000","世田谷区"
"H24/01","負担金補助及び交付金","補助金交付","109200000","（医）徳寿会、（医財）川瀬会"
"H24/02","負担金補助及び交付金","補助金交付","12000000","（医財）秀行会"
"H24/03","負担金補助及び交付金","補助金交付","191210000","墨田区"
"H24/04","負担金補助及び交付金","補助金交付","48000000","（福）みどり福祉会"
"H24/05","負担金補助及び交付金","補助金交付","483920000","品川区外24区市"
"H24/05","負担金補助及び交付金","補助金交付","767432000","（福）相愛福祉会外20法人"
"","","","1854791000",""
