"項目","内容","料金（円）"
"エックス線撮影","CR","1680"
"尿検査","尿中一般物質（定性半定量）","200"
"生理検査","心電図","1040"
"生理検査","聴力検査(オージオ)","880"
"生理検査","聴力検査（会話法）","320"
"エイズ検査","HIV-1・2抗体検査（免疫血清）","無料"
"肝炎ウィルス検査","HBs抗原（定性半定量）","700"
"肝炎ウィルス検査","HCV抗体価（定性半定量）","880"
"血液検査","血液一般（貧血検査）","160"
"血液生化学検査","(1)AST(GOT)","130"
"血液生化学検査","(2)ALT(GPT)","130"
"血液生化学検査","(3)γ-GT（γ-GTP）","80"
"血液生化学検査","(4)中性脂肪（TG）","80"
"血液生化学検査","(5)LDL-コレステロール","140"
"血液生化学検査","(6)HDL-コレステロール","130"
"血液生化学検査","(7)血糖（Glu）","80"
"血液生化学検査","※尿酸","80"
"血液生化学検査","※尿素窒素","80"
"血液生化学検査","※総たんぱく","80"
"血液生化学検査","※クレアチニン","80"
"血液生化学検査","基本7項目（1）から（7）","740"
"血液生化学検査","基本7項目＋(※）の検査1項目追加","790"
"血液生化学検査","基本7項目＋(※）の検査2項目追加","790"
"血液生化学検査","基本7項目＋(※）の検査3項目追加","890"
"血液生化学検査","基本7項目＋(※）の検査4項目追加","890"
"ふん便検査","細菌培養（赤痢・サルモネラ）","480"
"ふん便検査","細菌培養（O-157）","480"
