"","アレルギー対策委員会やアレルギー専門委員会を設置(%)","アレルギー対策委員会とは別の会議を代用(%)","健康・安全に関する担当者を決めている(%)","特に何も決めていない(%)","無回答(%)"
"全施設（n=5348）","5.1","35.5","36.6","32.0","7.3"
"認可保育所＊（n=1588）","11.8","50.8","61.8","6.5","4.2"
"認証保育所＊（n=527）","3.0","51.0","31.5","23.3","6.3"
"認定こども園＊（n=95）","4.2","44.2","53.7","20.0","5.3"
"幼稚園＊（n=666）","1.8","34.1","39.6","35.1","3.3"
"ベビーホテル（n=331）","3.3","29.3","31.4","39.6","3.9"
"家庭的保育（n=596）","0.2","4.5","8.6","61.4","25.8"
"学童保育（n=1169）","3.0","27.6","19.8","48.3","6.5"
"上記以外の施設（n=376）","1.6","29.0","28.2","45.7","5.1"
"＊前回調査施設 （再掲）（n=2876）","7.6","46.8","50.9","16.7","4.4" 
