"","はい","いいえ"
"対象者数","169","13395"
"症状１","158","12735"
"%","93.49","95.07"
"症状２","163","12897"
"%","96.45","96.28"
"症状３","153","12312"
"%","90.53","91.91"
"症状４","146","12155"
"%","86.39","90.74"
"症状５","160","13073"
"%","94.67","97.60"
"（軽症）間欠型","30","3243"
"%","17.75","24.21"
"軽症持続型","66","5012"
"%","39.05","37.42"
"中等症持続型","63","4061"
"%","37.28","30.32"
"重症持続型","10","1045"
"%","5.92","7.80"
"アレ・ダニ・陽性","116","9151"
"%","68.64","68.32"
"アレ・ダニ・擬陽性","0","268"
"%","0.00","2.00"
"アレ・ダニ・陰性","44","3391"
"%","26.04","25.32"
"アレ・ハウスダスト・陽性","108","8597"
"%","63.91","64.18"
"アレ・ハウスダスト・擬陽性","0","271"
"%","0.00","2.02"
"アレ・ハウスダスト・陰性","43","3292"
"%","25.44","24.58"
