"区市町村通番","所管地域","名称","ヨミガナ","電話番号","ＦＡＸ番号","郵便番号","住所","緯度","経度","座標系","対応時間帯","特記事項","施設種別／地域包括支援センター","施設種別／ブランチ・サブセンター","施設種別／在宅介護支援センター","施設種別／その他相談窓口","相談内容／高齢者の異変","相談内容／消費者被害のおそれ"
"1","伊奈平、岸、残堀、中原、三ツ木、三ツ藤、大字三ツ木（横田基地内）","西部地域包括支援センター","ｾｲﾌﾞﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","042-560-3931","042-560-6985","208-0023","武蔵村山市伊奈平6-14-2 特別養護老人ホーム伊奈平苑内","35.744324","139.373657","JGD2011","月曜日～土曜日8時30分～19時","高齢者のみ","〇","","","","〇","〇"
"2","神明、中央、中藤、本町","北部地域包括支援センター","ﾎｸﾌﾞﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","042-516-0062","042-516-0063","208-0003","武蔵村山市中央2-13-1","35.754345","139.394852","JGD2011","月曜日～土曜日8時30分～19時","高齢者のみ","〇","","","","〇","〇"
"3","榎、大南、学園","南部地域包括支援センター","ﾅﾝﾌﾞﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","042-590-1477","042-590-1252","208-8503","武蔵村山市学園4-5-1 市民総合センター内","35.746132","139.403259","JGD2011","月曜日～土曜日8時30分～19時","高齢者のみ","〇","","","","〇","〇"
"4","緑が丘","緑が丘地域包括支援センター","ﾐﾄﾞﾘｶﾞｵｶﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","042-590-5151","042-590-5152","208-0012","武蔵村山市緑が丘1460 1103号棟緑が丘高齢者サービスセンター内","35.742924","139.407913","JGD2011","月曜日～土曜日8時30分～19時","高齢者のみ","〇","","","","〇","〇"
"5","緑が丘","村山団地高齢者みまもり相談室","ﾑﾗﾔﾏﾀﾞﾝﾁｺｳﾚｲｼｬﾐﾏﾓﾘｿｳﾀﾞﾝｼﾂ","042-590-5800","042-590-5800","208-0012","武蔵村山市緑が丘1460 45号棟","35.740459","139.404831","JGD2011","月曜日～金曜日9時～17時","高齢者のみ","","","","〇","〇","〇"
"6","市内全域","武蔵村山市役所健康福祉部高齢福祉課","ﾑｻｼﾑﾗﾔﾏｼﾔｸｼｮｹﾝｺｳﾌｸｼﾌﾞｺｳﾚｲﾌｸｼｶ","042-590-1233","042-562-3966","208-8502","武蔵村山市学園4-5-1 市民総合センター内","35.746132","139.403259","JGD2011","月曜日～金曜日8時30分～17時15分","高齢者のみ（一般市民、障害者、18歳未満の子供のいる世帯、就学前の子供のいる世帯、生活保護世帯については、それぞれの担当課に繋ぐ）","","","","〇","〇",""
"7","市内全域","武蔵村山市役所健康福祉部地域福祉課","ﾑｻｼﾑﾗﾔﾏｼﾔｸｼｮｹﾝｺｳﾌｸｼﾌﾞﾁｲｷﾌｸｼｶ","042-565-1111","042-563-0793","208-8501","武蔵村山市本町1-1-1","35.754745","139.387360","JGD2011","月曜日～金曜日8時30分～17時15分","一般市民のみ（高齢者、障害者、18歳未満の子供のいる世帯、就学前の子供のいる世帯、生活保護世帯については、それぞれの担当課に繋ぐ）","","","","〇","〇",""
"8","市内全域","武蔵村山市役所総務部福祉総務課","ﾑｻｼﾑﾗﾔﾏｼﾔｸｼｮｿｳﾑﾌﾞﾌｸｼｿｳﾑｶ","042-565-1111","042-563-0793","208-8501","武蔵村山市本町1-1-1","35.754745","139.387360","JGD2011","夜間／休日","夜間・休日のみ（対象者に応じて担当課に繋ぐ）","","","","〇","〇",""
"9","市内全域","武蔵村山市消費生活センター","ﾑｻｼﾑﾗﾔﾏｼｼｮｳﾋｾｲｶﾂｾﾝﾀｰ","042-565-1111","042-563-0793","208-8501","武蔵村山市本町1-1-1","35.754745","139.387360","JGD2011","月、水、金曜日9時30分～16時30分","昼休みを除く。／受付は16時まで。","","","","〇","","〇"
"10","市内全域","武蔵村山市役所協働推進部協働推進課","ﾑｻｼﾑﾗﾔﾏｼﾔｸｼｮｷｮｳﾄﾞｳｽｲｼﾝﾌﾞｷｮｳﾄﾞｳｽｲｼﾝｶ","042-565-1111","042-563-0793","208-8501","武蔵村山市本町1-1-1","35.754745","139.387360","JGD2011","月曜日～金曜日8時30分～17時15分","","","","","〇","","〇"
