"","発見のきっかけから事実確認に入るまでの期間","生命にかかわる危険な状態","心身の健康に悪影響がある状態","本人の希望や意思が無視・軽視されている状態","無回答","合計"
"1","半日（１２時間）未満(回答数)","19","67","25","0","111"
"1","半日（１２時間）未満(%)","34.5","23.4","22.1","","23.9"
"2","半日～１日（２４時間）未満(回答数)","7","37","7","1","52"
"2","半日～１日（２４時間）未満(%)","12.7","12.9","6.2","9.1","11.2"
"3","１日～２日（４８時間）未満(回答数)","5","21","15","1","42"
"3","１日～２日（４８時間）未満(%)","9.1","7.3","13.3","9.1","9.0"
"4","２日～３日未満(回答数)","4","18","6","0","28"
"4","２日～３日未満(%)","7.3","6.3","5.3","","6.0"
"5","３日～１週間未満(回答数)","10","36","13","2","61"
"5","３日～１週間未満(%)","18.2","12.6","11.5","18.2","13.1"
"6","１週間～２週間未満(回答数)","3","33","17","2","55"
"6","１週間～２週間未満(%)","5.5","11.5","15.0","18.2","11.8"
"7","２週間～１ヶ月未満(回答数)","4","18","12","1","35"
"7","２週間～１ヶ月未満(%)","7.3","6.3","10.6","9.1","7.5"
"8","１ヶ月以後(回答数)","0","21","6","3","30"
"8","１ヶ月以後(%)","","7.3","5.3","27.3","6.5"
"9","不明(回答数)","2","31","12","1","46"
"9","不明(%)","3.6","10.8","10.6","9.1","9.9"
"0","無回答(回答数)","1","4","0","0","5"
"0","無回答(%)","1.8","1.4","","","1.1"
"","合計(回答数)","55","286","113","11","465"
"","合計(%)","100.0","100.0","100.0","100.0","100.0"
