"支出月","科目","支出目的","支出額(円)","支出相手先"
"H24/10","負担金補助及び交付金","補助金交付","8400000","江東区"
"H24/10","負担金補助及び交付金","補助金交付","46595000","文京区外４区市"
"H24/12","負担金補助及び交付金","補助金交付","54000000","（医）秀仁会"
"H25/01","負担金補助及び交付金","補助金交付","18085000","（福）恵比寿会"
"H25/01","負担金補助及び交付金","補助金交付","41054000","目黒区外３区市"
"H25/02","負担金補助及び交付金","補助金交付","139285000","（医）英世会外２法人"
"H25/03","負担金補助及び交付金","補助金交付","189663000","（医）沖縄徳洲会外３法人"
"H25/04","負担金補助及び交付金","補助金交付","134642000","（福）愛寿会外３法人"
"H25/04","負担金補助及び交付金","補助金交付","10800000","目黒区"
"H25/04","負担金補助及び交付金","補助金交付","118187000","墨田区外５区市"
"H25/04","負担金補助及び交付金","補助金交付","181765000","新宿区外１２区市"
"H25/04","負担金補助及び交付金","補助金交付","45170000","豊島区外３区"
"H25/05","負担金補助及び交付金","補助金交付","1336548000","（医）杏林会外２３法人"
