"","件数(件)","費用額(円)","保険者負担分(円)","一部負担金(円)","他法負担分(円)","被保険者１人当たりの費用額(計)(円)","被保険者１人当たりの医療給付額(高額含む)(円)"
"療養の給付等","16934752","330951075697","241848583238","75866123615","13236368844","",""
"食事療養・生活療養(再掲)","194323","5465540020","3661390006","1758896439","45253575","",""
"療養費等／食事療養・生活療養","380","","2448320","-2448320","0","",""
"療養費等／療養費／療養費","13194","208833874","148288491","59184587","1360796","",""
"療養費等／療養費／補装具","8510","323748449","239821843","75892460","8034146","",""
"療養費等／療養費／柔道整復師","452275","3507714949","2551937459","875888144","79889346","",""
"療養費等／療養費／アンマ・マッサージ","20696","605973177","451098457","134730831","20143889","",""
"療養費等／療養費／ハリ・キュウ","14594","201021727","148241217","47251486","5529024","",""
"療養費等／療養費／その他","281","4201205","3249231","829954","122020","",""
"療養費等／療養費／小計","509550","4851493381","3542636698","1193777462","115079221","",""
"療養費等／療養費／海外療養費（再掲）","781","32180383","23434169","8646889","99325","",""
"療養費等／移送費","14","583303","583303","0","0","",""
"計","17444696","335803152381","245394251559","77057452757","13351448065","316261","259782"
