"","","","","緯度","経度","座標系",""
"1","千代田区","千代田区障害者就労支援センター","〒102-0074千代田区九段南1-2-1","35.693947","139.753540","JGD2011","03-3264-2153"
"2","中央区","中央区障害者就労支援センター","〒103-0004中央区東日本橋2-27-12両国郵便局合同建物5階","35.695477","139.785629","JGD2011","03-3865-3889"
"3","港区","就労支援センターかもめ","〒105-0014港区芝1-8-23港区立障害保健福祉センター５階","35.650421","139.755219","JGD2011","03-5439-8062"
"4","新宿区","公益財団法人新宿区勤労者・仕事支援センター就労支援課障害者等就労支援担当","〒160-0022新宿区新宿7-3-29新宿ここ・から広場しごと棟１階","35.701225","139.712662","JGD2011","03-3200-3316"
"5","文京区","文京区障害者就労支援センター","〒113-0033文京区本郷4-15-14文京区民センター１階","35.708584","139.754013","JGD2011","03-5805-1600"
"6","台東区","台東区障害者就労支援室","〒111-0036台東区松が谷1-4-12松が谷福祉会館６階","35.711449","139.785522","JGD2011","03-3847-6431"
"7","墨田区","すみだ障害者就労支援総合センター","〒130-0021墨田区緑4-25-4","35.695614","139.807663","JGD2011","03-5600-2004"
"8","江東区","江東区障害者就労・生活支援センター","〒135-0016江東区東陽4-11-28防災センター２階","35.672993","139.816360","JGD2011","03-3699-0325"
"9","品川区","障害者就労支援センターげんき品川","〒141-0032品川区大崎4-11-12","35.618694","139.721222","JGD2011","03-5496-2525"
"10","目黒区","目黒障害者就労支援センター","〒152-0001目黒区中央町2-32-5スマイルプラザ中央町１階","35.631733","139.688629","JGD2011","03-5794-8180"
"11","大田区","大田区立障害者就労支援センター","〒143-0024大田区中央4-30-11","35.579586","139.718430","JGD2011","03-5728-9135"
"12","世田谷区","世田谷区立障害者就労支援センター「すきっぷ就労相談室」","〒156-0055世田谷区船橋5-33-1","35.657223","139.625229","JGD2011","03-3302-7927"
"12","世田谷区","世田谷区障害者就労支援センター「すきっぷ就労相談室」分室「クローバー」","〒154-0004世田谷区太子堂2-15-1野村三軒茶屋ビル８階","35.643955","139.671661","JGD2011","03-5787-4355"
"12","世田谷区","世田谷区障害者就労支援センター「すきっぷ就労相談室」分室「そしがや」","〒157-0072世田谷区祖師谷3-1-3","35.642750","139.608261","JGD2011","03-5494-5581"
"12","世田谷区","世田谷区障害者就労支援センター「しごとねっと」","〒154-0004世田谷区太子堂2-15-1野村三軒茶屋ビル８階","35.643955","139.671661","JGD2011","03-3418-1432"
"12","世田谷区","世田谷区障害者就労センター「ゆに（UNI）」","〒158-0098世田谷上用賀5-14-1上用賀アートホール2階","35.630397","139.626011","JGD2012","03-5797-2343"
"13","渋谷区","渋谷区障害者就労支援センターハートバレーしぶや","〒150-0041渋谷区神南1-19-8","35.662560","139.699387","JGD2011","03-3462-2513"
"14","中野区","中野区障害者福祉事業団","〒165-0026中野区新井2-8-13","35.712238","139.665054","JGD2011","03-3388-2941"
"15","杉並区","杉並区障害者就労支援センター（ワークサポート杉並）","〒168-0072杉並区高井戸東4-10-26","35.689907","139.617737","JGD2011","03-5346-3250"
"16","豊島区","豊島区福祉保健部障害福祉課就労支援グループ","〒171-0022豊島区南池袋2-45-1","35.725555","139.717392","JGD2011","03-3985-8330"
"17","北区","就労支援センター北ドリームヴイ","〒114-0034北区上十条2-1-12","35.757652","139.722153","JGD2011","03-3906-7753"
"17","北区","就労支援センター北わくわくかん","〒115-0044北区赤羽南2-6-6スカイブリッジビル地下１階","35.772282","139.722565","JGD2011","03-3598-3337"
"18","荒川区","荒川区障害者就労支援センターじょぶ・あらかわ","〒116-0003荒川区南千住1-13-20","35.732086","139.790710","JGD2011","03-3803-4510"
"19","板橋区","板橋区障がい者就労支援センターハートワーク","〒174-0063板橋区前野町4-16-1おとしより保健福祉センター内","35.771248","139.690063","JGD2011","03-3968-9900"
"20","練馬区","練馬区障害者就労促進協会","〒176-0012練馬区豊玉北5-14-6新練馬ビル５階","35.735870","139.655182","JGD2011","03-3557-8182"
"21","足立区","足立区障がい福祉センター就労促進訓練係雇用支援室","〒121-0816足立区梅島3-31-19","35.777699","139.792984","JGD2011","03-5681-0133"
"22","葛飾区","葛飾区障害者就労支援センター","〒124-0012葛飾区立石5-27-1男女平等推進センター２階","35.745686","139.845673","JGD2011","03-3695-2224"
"23","江戸川区","江戸川区立障害者就労支援センター","〒133-0052江戸川区東小岩6-15-2","35.735023","139.888184","JGD2011","03-5622-6050"
"24","八王子市","八王子市障害者就労・生活支援センターふらん","〒192-0904八王子市子安町1-8-3コーポ森１階","35.653000","139.341034","JGD2011","042-642-0080"
"25","立川市","自立生活センター・立川就労支援部門","〒190-0023立川市柴崎町2-10-16オオノビル２階","35.696392","139.408768","JGD2011","042-525-0879"
"26","武蔵野市","武蔵野市障害者就労支援センターあいる","〒180-0022武蔵野市境2-11-3フォレイーハトーヴ１階","35.703331","139.542831","JGD2011","0422-50-0255"
"27","三鷹市","三鷹市障がい者就労支援センターかけはし","〒181-0013三鷹市下連雀4-15-18","35.695309","139.561829","JGD2011","2422-27-8864"
