"","厚生労働省(%)","文部科学省(%)","区市町村作成(%)","所・園作成(%)","その他の様式(%)","未使用(%)","無回答(%)","厚生労働省・文部科学省（再掲）(%)"
"全施設（n=5348）","16.7","10.3","24.3","22.1","17.3","19.4","12.3","27.0"
"認可保育所＊（n=1588）","27.9","2.7","39.0","27.3","13.0","6.2","8.3","30.6"
"認証保育所＊（n=527）","26.8","2.8","15.7","44.8","26.4","6.3","9.9","29.6"
"認定こども園＊（n=95）","20.0","11.6","15.8","29.5","16.8","18.9","6.3","31.6"
"幼稚園＊（n=666）","4.7","20.6","7.7","16.5","21.0","32.0","12.3","25.2"
"ベビーホテル（n=331）","20.5","1.8","12.1","22.4","22.1","23.6","13.9","22.4"
"家庭的保育（n=596）","10.9","3.0","15.4","4.0","12.8","37.2","28.9","13.9"
"学童保育（n=1169）","3.7","25.9","31.3","15.2","17.4","21.8","11.5","29.6"
"上記以外の施設（n=376）","22.3","4.3","8.5","25.8","19.7","32.4","8.5","26.6"
"＊前回調査施設（再掲）（n=2876）","22.0","7.2","26.7","28.1","17.4","12.6","9.5","29.2" 
