"各部門","電話番号","問い合わせ内容"
"【事務室】庶務担当（代表）","03-3302-7575","職員募集"
"【事務室】精神医療審査担当","03-3302-7891","都内精神科に入院中の方に関する退院請求・処遇改善請求"
"【事務室】精神医療審査担当","03-3302-7851","＜病院関係者の方＞医療保護入院者入院届及び定期病状報告の審査／措置入院者定期病状報告の審査／退院請求・処遇改善請求の手続き"
"【事務室】自立支援医療担当","03-3302-7871","自立支援医療（精神通院医療）の審査"
"【事務室】精神障害者保健福祉手帳担当","03-3302-7739","精神障害者保健福祉手帳の審査／小児精神障害者入院医療費助成の診査"
"【広報援助課】計画調査担当","03-3302-7702","都内精神科・精神神経科・心療内科医療機関名簿／東京都精神保健福祉の動向（統計）／事業概要、調査研究等／東京DPAT／各種シンポジウム、フォーラム"
"【広報援助課】広報研修担当","03-3302-7704","関係機関職員への研修／施設見学（一般見学、団体見学）／こころの健康だより、リーフレット／ホームページ／学生実習"
"【広報援助課】援助担当","03-3302-7422","＜関係機関の方＞事例検討会、各種会議の運営、組織づくり、講演会など／地域移行体制整備"
"【広報援助課】相談担当","03-3302-7711","ご本人、ご家族等からの相談及び面接相談"
"【広報援助課】相談担当","03-3302-7430","＜関係機関の方＞依存症・思春期家族講座"
"【生活訓練科】精神科デイケア（通所訓練部門）","03-3302-7711（相談専用電話）","精神科デイケアの利用について／復職コース（作業訓練）／就労／進学・復学コース（デイケア）／CODYプロジェクトの利用を希望される場合"
"【地域支援科】地域支援科","03-3302-7742","アウトリーチ支援事業、短期宿泊事業、一時入所事業"
"【地域支援科】地域支援科","03-3302-7305","＜関係機関の方＞アウトリーチ支援事業の受付"
