"年次","全国／離婚件数","全国／離婚率（人口千対）","東京／離婚件数","東京／離婚率（人口千対）"
"昭和39","72306","0.74","8989","0.85"
"昭和40","77195","0.79","9834","0.90"
"昭和41","79432","0.80","10302","0.94"
"昭和42","83478","0.84","10961","0.98"
"昭和43","87327","0.87","10993","0.97"
"昭和44","91280","0.89","11761","1.03"
"昭和45","95937","0.93","12297","1.08"
"昭和46","103595","0.99","13188","1.15"
"昭和47","108382","1.02","13999","1.21"
"昭和48","111877","1.04","13807","1.19"
"昭和49","113622","1.04","14053","1.21"
"昭和50","119135","1.07","14503","1.24"
"昭和51","124512","1.11","15002","1.28"
"昭和52","129485","1.14","15114","1.29"
"昭和53","132146","1.15","15394","1.32"
"昭和54","135250","1.17","15473","1.32"
"昭和55","141689","1.22","15969","1.37"
"昭和56","154221","1.32","17396","1.50"
"昭和57","163980","1.39","18077","1.55"
"昭和58","179150","1.51","19548","1.66"
"昭和59","178746","1.50","19239","1.63"
"昭和60","166640","1.39","17955","1.52"
"昭和61","166054","1.37","18271","1.53"
"昭和62","158227","1.30","17152","1.44"
"昭和63","153600","1.26","16884","1.41"
"平成1","157811","1.29","17593","1.48"
"平成2","157608","1.28","17935","1.51"
"平成3","168969","1.37","19400","1.63"
"平成4","179191","1.45","20211","1.70"
"平成5","188297","1.52","21114","1.78"
"平成6","195106","1.57","21372","1.81"
"平成7","199016","1.60","21548","1.83"
"平成8","206955","1.66","22273","1.89"
"平成9","222635","1.78","23690","2.00"
"平成10","243183","1.94","25685","2.16"
"平成11","250529","2.00","26375","2.21"
"平成12","264246","2.10","27032","2.24"
"平成13","285911","2.27","28593","2.35"
"平成14","289836","2.30","28780","2.34"
"平成15","283906","2.25","28211","2.28"
