"BMI","総数／％","総数／人","やせ／％","やせ／人","普通／％","普通／人","肥満／％","肥満／人"
"総数／計","100.00","308","9.40","29","70.10","216","20.50","63"
"総数／男","100.00","144","2.10","3","72.90","105","25.00","36"
"総数／女","100.00","164","15.90","26","67.70","111","16.50","27"
"15～19歳／計","100.00","11","27.30","3","63.60","7","9.10","1"
"15～19歳／男","100.00","6","0.00","0","100.00","6","0.00","0"
"15～19歳／女","100.00","5","60.00","3","20.00","1","20.00","1"
"20～29歳／計","100.00","24","12.50","3","83.30","20","4.20","1"
"20～29歳／男","100.00","11","0.00","0","90.90","10","9.10","1"
"20～29歳／女","100.00","13","23.10","3","76.90","10","0.00","0"
"30～39歳／計","100.00","27","3.70","1","66.70","18","29.60","8"
"30～39歳／男","100.00","19","0.00","0","63.20","12","36.80","7"
"30～39歳／女","100.00","8","12.50","1","75.00","6","12.50","1"
"40～49歳／計","100.00","61","13.10","8","62.30","38","24.60","15"
"40～49歳／男","100.00","22","0.00","0","59.10","13","40.90","9"
"40～49歳／女","100.00","39","20.50","8","64.10","25","15.40","6"
"50～59歳／計","100.00","43","11.60","5","58.10","25","30.20","13"
"50～59歳／男","100.00","17","0.00","0","64.70","11","35.30","6"
"50～59歳／女","100.00","26","19.20","5","53.80","14","26.90","7"
"60～69歳／計","100.00","71","5.60","4","78.90","56","15.50","11"
"60～69歳／男","100.00","30","0.00","0","83.30","25","16.70","5"
"60～69歳／女","100.00","41","9.80","4","75.60","31","14.60","6"
"70歳以上／計","100.00","71","7.00","5","73.20","52","19.70","14"
"70歳以上／男","100.00","39","7.70","3","71.80","28","20.50","8"
"70歳以上／女","100.00","32","6.30","2","75.00","24","18.80","6"
"(再)20歳以上／計","100.00","297","8.80","26","70.40","209","20.9","62"
"(再)20歳以上／男","100.00","138","2.20","3","71.70","99","26.10","36"
"(再)20歳以上／女","100.00","159","14.50","23","69.20","110","16.40","26"
"(再)20～69歳／計","100.00","226","9.30","21","69.50","157","21.20","48"
"(再)20～69歳／男","100.00","99","0.00","0","71.70","71","28.30","28"
"(再)20～69歳／女","100.00","127","16.50","21","67.70","86","15.70","20"
"(再)40～69歳／計","100.00","175","9.70","17","68.00","119","22.30","39"
"(再)40～69歳／男","100.00","69","0.00","0","71.00","49","29.00","20"
"(再)40～69歳／女","100.00","106","16.00","17","66.00","70","17.90","19"
"(再)65～69歳／計","100.00","42","4.80","2","78.60","33","16.70","7"
"(再)65～69歳／男","100.00","20","0.00","0","80.00","16","20.00","4"
"(再)65～69歳／女","100.00","22","9.10","2","77.30","17","13.60","3"
"(再)70～74歳／計","100.00","30","6.70","2","66.70","20","26.70","8"
"(再)70～74歳／男","100.00","19","5.30","1","63.20","12","31.60","6"
"(再)70～74歳／女","100.00","11","9.10","1","72.70","8","18.20","2"
"(再)75～79歳／計","100.00","26","11.50","3","76.90","20","11.50","3"
"(再)75～79歳／男","100.00","13","15.40","2","76.90","10","7.70","1"
"(再)75～79歳／女","100.00","13","7.70","1","76.90","10","15.40","2"
"(再)80～84歳／計","100.00","11","0.00","0","81.80","9","18.20","2"
"(再)80～84歳／男","100.00","6","0.00","0","83.30","5","16.70","1"
"(再)80～84歳／女","100.00","5","0.00","0","80.00","4","20.00","1"
"(再)80歳以上／計","100.00","15","0.00","0","80.00","12","20.00","3"
"(再)80歳以上／男","100.00","7","0.00","0","85.70","6","14.30","1"
"(再)80歳以上／女","100.00","8","0.00","0","75.00","6","25.00","2"
"(再)85歳以上／計","100.00","4","0.00","0","75.00","3","25.00","1"
"(再)85歳以上／男","100.00","1","0.00","0","100.00","1","0.00","0"
"(再)85歳以上／女","100.00","3","0.00","0","66.70","2","33.30","1"
