"区市町村通番","所管地域","名称","ヨミガナ","電話番号","ＦＡＸ番号","郵便番号","住所","緯度","経度","座標系","対応時間帯","特記事項","施設種別／地域包括支援センター","施設種別／ブランチ・サブセンター","施設種別／在宅介護支援センター","施設種別／その他相談窓口","相談内容／高齢者の異変","相談内容／消費者被害のおそれ"
"1","恵比寿1～4丁目、広尾1・2・5丁目","渋谷区豊沢・新橋地域包括支援センター","ｼﾌﾞﾔｸﾄﾖｻﾜｼﾝﾊﾞｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","03-3440-1671","03-3440-1675","150-0013","渋谷区恵比寿2-27-18","35.645233","139.719559","JGD2011","月～土曜日9時～19時／休業日（日曜日、敬老の日を除く祝日、年末年始）","夜間・休日の連絡先渋谷区役所／03-3463-1211","〇","","","","〇",""
"2","猿楽町、鶯谷町、鉢山町、代官山町、恵比寿西1・2丁目、恵比寿南1～3丁目、桜丘町、南平台町","地域包括支援センターパール","ﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰﾊﾟｰﾙ","03-5458-4814","03-5458-4817","150-0035","渋谷区鉢山町3-27","35.652470","139.698334","JGD2011","月～土曜日9時～19時／休業日（日曜日、敬老の日を除く祝日、年末年始）","夜間・休日の連絡先渋谷区役所／03-3463-1211","〇","","","","〇",""
"3","渋谷3丁目、東1～4丁目、広尾3・4丁目","渋谷区ひがし健康プラザ地域包括支援センター","ｼﾌﾞﾔｸﾋｶﾞｼｹﾝｺｳﾌﾟﾗｻﾞﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","03-5468-5901","03-5468-5902","150-0011","渋谷区東3-14-13","35.650887","139.709381","JGD2011","月～土曜日9時～19時／休業日（日曜日、敬老の日を除く祝日、年末年始）","夜間・休日の連絡先渋谷区役所／03-3463-1211","〇","","","","〇",""
"4","道玄坂1・2丁目、円山町、神泉町、宇田川町、神南1・2丁目、神山町、松濤1・2丁目","渋谷区大向地域包括支援センター","ｼﾌﾞﾔｸｵｵﾑｶｲﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","03-5465-0520","03-5465-0521","150-0046","渋谷区松濤1-26-6","35.658886","139.693085","JGD2011","月～土曜日9時～19時／休業日（日曜日、敬老の日を除く祝日、年末年始）","夜間・休日の連絡先渋谷区役所／03-3463-1211","〇","","","","〇",""
"5","富ヶ谷1・2丁目、上原1～3丁目","渋谷区富ヶ谷・上原地域包括支援センター","ｼﾌﾞﾔｸﾄﾐｶﾞﾔｳｴﾊﾗﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","03-3467-2371","03-3467-2385","151-0063","渋谷区富ヶ谷2-27-12","35.664162","139.684494","JGD2011","月～土曜日9時～19時／休業日（日曜日、敬老の日を除く祝日、年末年始）","夜間・休日の連絡先渋谷区役所／03-3463-1211","〇","","","","〇",""
"6","西原1～3丁目、元代々木町、大山町、幡ヶ谷1丁目、笹塚1丁目","渋谷区総合ケアコ ミュニティ・せせらぎ地域包括支援センター","ｼﾌﾞﾔｸｿｳｺﾞｳｹｱｺﾐｭﾆﾃｨｾｾﾗｷﾞﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","03-5790-0881","03-5790-0884","151-0066","渋谷区西原1-40-10","35.675034","139.681335","JGD2011","月～土曜日9時～19時／休業日（日曜日、敬老の日を除く祝日、年末年始）","夜間・休日の連絡先渋谷区役所／03-3463-1211","〇","","","","〇",""
"7","代々木神園町、代々木3～5丁目、初台1・2丁目","渋谷区あやめの苑・代々木地域包括支援センター","ｼﾌﾞﾔｸｱﾔﾒﾉｿﾉﾖﾖｷﾞﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","03-3372-1038","03-3372-1108","151-0053","渋谷区代々木3-35-1","35.682686","139.692764","JGD2011","月～土曜日9時～19時／休業日（日曜日、敬老の日を除く祝日、年末年始）","夜間・休日の連絡先渋谷区役所／03-3463-1211","〇","","","","〇",""
"8","本町1～6丁目","渋谷区つばめの里・本町東地域包括支援センター","ｼﾌﾞﾔｸﾂﾊﾞﾒﾉｻﾄﾎﾝﾏﾁﾋｶﾞｼﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","03-5334-9977","03-5334-9979","151-0071","渋谷区本町3-46-1","35.687641","139.682785","JGD2011","月～土曜日9時～19時／休業日（日曜日、敬老の日を除く祝日、年末年始）","夜間・休日の連絡先渋谷区役所／03-3463-1211","〇","","","","〇",""
"9","幡ヶ谷2・3丁目、笹塚2・3丁目","渋谷区笹幡地域包括支援センター","ｼﾌﾞﾔｸｻｻﾊﾀﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","03-5365-1611","03-5365-1612","151-0072","渋谷区幡ヶ谷2-21-9","35.676544","139.672577","JGD2011","月～土曜日9時～19時／休業日（日曜日、敬老の日を除く祝日、年末年始）","夜間・休日の連絡先渋谷区役所／03-3463-1211","〇","","","","〇",""
"10","千駄ヶ谷1～6丁目、代々木1・2丁目","渋谷区千駄ヶ谷・北参道地域包括支援センター","ｼﾌﾞﾔｸｾﾝﾀﾞｶﾞﾔｷﾀｻﾝﾄﾞｳﾁｲｷﾎｳｶﾂｼｴﾝｾﾝﾀｰ","03-3475-1461","03-3475-1465","151-0051","渋谷区千駄ヶ谷4-25-14","35.681225","139.705536","JGD2011","月～土曜日9時～19時／休業日（日曜日、敬老の日を除く祝日、年末年始）","夜間・休日の連絡先渋谷区役所／03-3463-1211","〇","","","","〇",""
