"上段：度数／下段：%","n=","女性計","女性１９歳以下","女性２０～２４歳","女性２５～２９歳","女性３０～３４歳","女性３５～３９歳","女性４０～４４歳","女性４５～４９歳","女性５０～５４歳","女性５５～５９歳","女性６０～６４歳","女性６５～６９歳","女性７０歳以上","男性計","男性１９歳以下","男性２０～２４歳","男性２５～２９歳","男性３０～３４歳","男性３５～３９歳","男性４０～４４歳","男性４５～４９歳","男性５０～５４歳","男性５５～５９歳","男性６０～６４歳","男性６５～６９歳","男性７０歳以上","無回答"
"ＴＯＴＡＬ","15369","14059","6","3106","2596","2047","1587","1578","1283","935","470","229","90","27","701","0","204","269","94","54","37","18","6","7","6","4","0","609"
"ＴＯＴＡＬ","100","91.5","0.0","20.2","16.9","13.3","10.3","10.3","8.3","6.1","3.1","1.5","0.6","0.2","4.6","0.0","1.3","1.8","0.6","0.4","0.2","0.1","0.0","0.0","0.0","0.0","0.0","4.0"
"性別・年代／女性計","14059","14059","6","3106","2596","2047","1587","1578","1283","935","470","229","90","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"性別・年代／女性計","100","100.0","0.0","22.1","18.5","14.6","11.3","11.2","9.1","6.7","3.3","1.6","0.6","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"性別・年代／女性２０代","5708","5708","6","3106","2596","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"性別・年代／女性２０代","100","100.0","0.1","54.4","45.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"性別・年代／女性３０代","3634","3634","0","0","0","2047","1587","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"性別・年代／女性３０代","100","100.0","0.0","0.0","0.0","56.3","43.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"性別・年代／女性４０代","2861","2861","0","0","0","0","0","1578","1283","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"性別・年代／女性４０代","100","100.0","0.0","0.0","0.0","0.0","0.0","55.2","44.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"性別・年代／女性５０代以上","1751","1751","0","0","0","0","0","0","0","935","470","229","90","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"性別・年代／女性５０代以上","100","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","53.4","26.8","13.1","5.1","1.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"性別・年代／男性計","701","0","0","0","0","0","0","0","0","0","0","0","0","0","701","0","204","269","94","54","37","18","6","7","6","4","0","0"
"性別・年代／男性計","100","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","29.1","38.4","13.4","7.7","5.3","2.6","0.9","1.0","0.9","0.6","0.0","0.0"
"性別・年代／男性２０代","473","0","0","0","0","0","0","0","0","0","0","0","0","0","473","0","204","269","0","0","0","0","0","0","0","0","0","0"
"性別・年代／男性２０代","100","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","43.1","56.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"性別・年代／男性３０代以上","226","0","0","0","0","0","0","0","0","0","0","0","0","0","226","0","0","0","94","54","37","18","6","7","6","4","0","0"
"性別・年代／男性３０代以上","100","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","41.6","23.9","16.4","8.0","2.7","3.1","2.7","1.8","0.0","0.0"
"性別・年代／無回答","609","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","609"
"性別・年代／無回答","100","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
