"","あり","なし"
"対象者数","1083","2875"
"持続性せき","77","175"
"%","7.11","6.09"
"持続性たん","143","321"
"%","13.2","11.17"
"持続性せきたん","49","97"
"%","4.52","3.37"
"ぜんそく様症状現在","28","56"
"%","2.59","1.95"
"ぜんそく様症状寛解","33","59"
"%","3.05","2.05"
"ぜん鳴症状","36","92"
"%","3.32","3.2"
"慢性気管支炎","37","98"
"%","3.42","3.41"
"肺気腫","14","65"
"%","1.29","2.26"
"じんましん","114","273"
"%","10.53","9.5"
"アトピー性皮膚炎","36","112"
"%","3.32","3.9"
"アレルギー性鼻炎","214","517"
"%","19.76","17.98"
"アレルギー性結膜炎","35","75"
"%","3.23","2.61"
"花粉症","355","833"
"%","32.78","28.97"
"食物アレルギー","32","68"
"%","2.95","2.37"
