"No","性別","年齢","保育士資格の取得方法","問22から　主に「保育士として働くことへの不安」について抜粋"
"1","女性","20～24歳","短期大学の保育士養成課程","私は短大から大学に進学しました。当時は保育士として働くのに実感がわかないのと、勉強したいと思い大学へ進学しました。就活もし、企業も数十社ほどみて、最終面接で自分のやりたいこと、やりがいのある職は企業ではなく、“子どもたちの先生”だと強く思いました。大学の2年間のブランクというのはとても不安です。短大時代の友人たちも、いい話だけではなく、先輩の先生からの嫌がらせを受けた等の話も聞きます。そういったときのサポート、どうしたらいいのか知りたいです。"
"2","女性","25～29歳","通信教育等で学んだ後、保育士試験","実務経験がないので、今後保育士として働けるのか（年齢の面からも）不安。求人情報の提供と紹介（マッチング）は今後も積極的に行って頂きたい。"
"3","女性","25～29歳","通信教育等で学んだ後、保育士試験","保育士試験での資格取得だったため、実技が全く自信がない。子どもが小さいので、子育てと両立できるか、自分の子どもを預ける保育園が見つかるかが不安。"
"4","女性","30～34歳","短期大学の保育士養成課程","子育てをしながら復帰できるかが不安。自分の子が学童に入れるか?保育園に入れるか?35才以上の人材を求めてくれるか?が不安"
"5","女性","30～34歳","短期大学の保育士養成課程","結婚前は幼稚園で働いていました。保育園は学生の頃アルバイトをしただけなので、ほぼ（初）となります。子を持つ母としては、保育園の方が働きやすいと思い、いずれパートを希望しています。しかしブランクもあり、不安の方が大きいので、セミナーなど参加してみたいと思いました。自分に合った（時間など）場がみつかるといいです。子どもがいても働ける場があればいいなと思います。"
"6","女性","30～34歳","大学の保育士養成課程","私は、幼稚園教愉と保育士の資格を持っており、結婚をし、出産の準備のため幼稚園教愉を辞めました。しかし、今、出産を終えて子育て中ですが、是非今度は保育士として働きたいと思っています。ですが、まずは自分の子どもを預ける場所の確保、子どもの病気など急な時、仕事を休まなくてはならない時に休めるのか?とか不安ばかりで、なかなか、前にすすめません。"
"7","女性","30～34歳","通信教育等で学んだ後、保育士試験","子育てをしながら独学で資格を取得しました。しかしながら、やはり実務経験がないので、このままよそのお子様をお預りする立場になって良いのだろうか…と不安に思い、保育士としては働かず、現在は在宅で、仕事をしています。ボランティアでも良いので、保育士として気軽に実務経験をつめる場所があれば、そこから就職の流れができるのではないでしょうか?"
"8","女性","35～39歳","短期大学の保育士養成課程","親と子のスキンシップを図れるような又ニーズに合った保育環境を整えることと、又、保護者の方のいいなりにならないような体制がしっかりとしていること。職員同士のコミュニケーションがしっかりとし上下のへだたりのない、交流がきちんと保てた環境。働きたくても子を預ける所が不足し家-保育所-職場の距離がありすぎるなどの通勤に対する不安。"
"9","女性","35～39歳","通信教育等で学んだ後、保育士試験","パートなどの時間単位就業の場合、求人が早朝や夜間が多く、子育てをしながら本当に働くことが可能なのかと不安になります。パートとしての責任はどの程度果たすべきなのか…事故が万一起きた場合にも不安です。"
"10","女性","35～39歳","通信教育等で学んだ後、保育士試験","子どもが中学生になったら働きたいと考えています。保育士は大切なお子さんの命をお預りする仕事ですので。安全に配慮した保育を学びたいと考えております。幼稚園教諭として働いた経験はありますが、保育園は未知の世界な面があり、不安もありますので、保育園、施設等の見学をしてみたいと思っています。"
"11","女性","40～44歳","通信教育等で学んだ後、保育士試験","子育て経験と資格はありますが、現場で働いた経験がないこと。子供が小さいので家庭との両立など不安です。同じような人がたくさんいると思うので、そういうセミナー等あると良いと思う。"
"12","女性","40～44歳","通信教育等で学んだ後、保育士試験","経験がないので、早朝、夜のシフトが絶対条件と言われてしまう。子育てしているのでむずかしいかと思うが不安を相談するところがない"
"13","女性","45～49歳","短期大学の保育士養成課程","高齢者（ブランクが長い為）本当に働ける環境があるのか不安。今まで習った事も忘れているし、過去と現在では、内容等変わっている事も多いでしょう。時間と経済的な事も考えるので、選択をいくつかあげて自分に合ったコースを選んで就職先も選んだ条件があえば働く事に前向きになるのかもしれません。"
