"","施設名","所在地","緯度","軽度","座標系"
"1","国立研究開発法人国立がん研究センター中央病院","〒104-0045 東京都中央区築地5-1-1","35.665504","139.766815","JGD2011"
"2","東京慈恵会医科大学附属病院","〒105-8471 東京都港区西新橋3-19-18","35.663685","139.751434","JGD2011"
"3","東京医科歯科大学医学部附属病院","〒113-8519 東京都文京区湯島1-5-45","35.701828","139.765274","JGD2011"
"4","順天堂大学医学部附属順天堂医院","〒113-8431 東京都文京区本郷3-1-3","35.701878","139.762177","JGD2011"
"5","東京大学医学部附属病院","〒113-8655 東京都文京区本郷7-3-1","35.714146","139.763214","JGD2011"
"6","日本医科大学付属病院","〒113-8603 東京都文京区千駄木1-1-5","35.721233","139.758453","JGD2011"
"7","聖路加国際病院","〒104-8560 東京都中央区明石町9-1","35.667965","139.776779","JGD2011"
"8","東邦大学医療センター大森病院","〒143-8541 東京都大田区大森西6-11-1","35.569328","139.723694","JGD2011"
"9","慶應義塾大学病院","〒160-8582 東京都新宿区信濃町35","35.681423","139.718048","JGD2011"
"10","国立国際医療研究センター病院","〒162-8655 東京都新宿区戸山1-21-1","35.703987","139.716217","JGD2011"
"11","日本大学医学部附属板橋病院","〒173-8610 東京都板橋区大谷口上町30-1","35.749275","139.691055","JGD2011"
"12","帝京大学医学部附属病院","〒173-8606 東京都板橋区加賀2-11-1","35.759392","139.714478","JGD2011"
"13","杏林大学医学部付属病院","〒181-8611 東京都三鷹市新川6-20-2","35.677597","139.565598","JGD2011"
