"上段：度数／下段：%","n=","専門（専修）学校の保育士養成課程","短期大学の保育士養成課程","大学の保育士養成課程","その他養成施設の保育士養成課程","通信教育等で学んだ後、保育士試験","無回答"
"ＴＯＴＡＬ","15369","3584","5202","2455","157","3833","138"
"ＴＯＴＡＬ","100","23.3","33.8","16.0","1.0","24.9","0.9"
"性別・年代／女性計","14059","3183","4894","2185","140","3542","115"
"性別・年代／女性計","100","22.6","34.8","15.5","1.0","25.2","0.8"
"性別・年代／女性２０代","5708","1183","1984","1854","15","644","28"
"性別・年代／女性２０代","100","20.7","34.8","32.5","0.3","11.3","0.5"
"性別・年代／女性３０代","3634","933","1131","201","46","1296","27"
"性別・年代／女性３０代","100","25.7","31.1","5.5","1.3","35.7","0.7"
"性別・年代／女性４０代","2861","622","1037","84","43","1049","26"
"性別・年代／女性４０代","100","21.7","36.2","2.9","1.5","36.7","0.9"
"性別・年代／女性５０代以上","1751","415","701","39","35","529","32"
"性別・年代／女性５０代以上","100","23.7","40.0","2.2","2.0","30.2","1.8"
"性別・年代／男性計","701","237","80","207","5","165","7"
"性別・年代／男性計","100","33.8","11.4","29.5","0.7","23.5","1.0"
"性別・年代／男性２０代","473","177","61","197","2","31","5"
"性別・年代／男性２０代","100","37.4","12.9","41.6","0.4","6.6","1.1"
"性別・年代／男性３０代以上","226","59","19","9","3","134","2"
"性別・年代／男性３０代以上","100","26.1","8.4","4.0","1.3","59.3","0.9"
"性別・年代／無回答","609","164","228","63","12","126","16"
"性別・年代／無回答","100","26.9","37.4","10.3","2.0","20.7","2.6"
