"","本年度末現在","本年度末現在／(再掲)未就学児","本年度末現在／(再掲)前期高齢者","本年度末現在／(再掲)70歳以上一般","本年度末現在／(再掲)70歳以上現役並み所得者","年度平均","年度平均／(再掲)未就学児","年度平均／(再掲)前期高齢者","年度平均／(再掲)70歳以上一般","年度平均／(再掲)70歳以上現役並み所得者","転入","社保離脱","生保廃止","出生","後期高齢者離脱","その他","計","転出","社保加入","生保開始","死亡","後期高齢者加入","その他","計","専任","兼任","計","出産育児給付を実施","葬祭給付を実施","傷病手当金","出産手当金","その他の任意給付","法定割合","その他","計","保険料","保険税"
"保険者数(人)","62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"世帯数","2290245","","","","","2325402","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"被保険者数／総数(人)","3451418","104273","1101270","455521","67271","3537871","101600","1112142","472048","71204","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"被保険者数／退職被保険者等(人)","68755","49","","","","85083","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"被保険者数／一般被保険者(人)","3382663","104224","1101270","455521","67271","3452788","101540","1112142","472048","71204","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"介護保険第2号被保険者数(人)","1207965","","","","","1247621","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"標準負担額の減額状況(円)","","","","","","65997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"被保険者増減内訳／本年度中増(人)","","","","","","","","","","","252564","378297","10471","15876","38","72619","729865","","","","","","","","","","","","","","","","","","","",""
"被保険者増減内訳／本年度中減(人)","","","","","","","","","","","","","","","","","","226321","410552","19384","18510","107680","74162","856609","","","","","","","","","","","","",""
"本年度末現在事務職員数(人)","","","","","","","","","","","","","","","","","","","","","","","","","1710","313","2023","","","","","","","","","",""
"その他の保険給付実施保険者数(人)","","","","","","","","","","","","","","","","","","","","","","","","","","","","62","62","0","0","0","","","","",""
"一部負担割合保険者数(人)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62","0","62","",""
"保険料・税別保険者数(人)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","37"
