"","合計特殊出生率／昭和50","合計特殊出生率／平成 15","平均初婚年齢(歳)／平成１５／夫","平均初婚年齢(歳)／平成１５／妻"
"全国","1.9","1.3","29.4","27.6"
"北海道","1.8","1.2","28.8","27.4"
"青森","2.0","1.4","28.8","27.0"
"岩手","2.1","1.5","28.9","26.9"
"宮城","2.0","1.3","29.0","27.1"
"秋田","1.9","1.3","29.1","27.2"
"山形","2.0","1.5","29.1","26.9"
"福島","2.1","1.5","28.7","26.6"
"茨城","2.1","1.3","29.3","27.3"
"栃木","2.1","1.4","29.1","27.2"
"群馬","2.0","1.4","29.1","27.3"
"埼玉","2.1","1.2","29.7","27.8"
"千葉","2.0","1.2","29.8","27.8"
"東京","1.6","1.0","30.7","28.7"
"神奈川","2.0","1.2","30.2","28.2"
"新潟","2.0","1.3","29.3","27.3"
"富山","1.9","1.4","29.3","27.4"
"石川","2.1","1.4","29.0","27.4"
"福井","2.1","1.5","29.2","27.2"
"山梨","2.0","1.4","29.7","27.6"
"長野","2.1","1.4","29.6","27.7"
"岐阜","2.0","1.4","29.1","27.2"
"静岡","2.0","1.4","29.4","27.4"
"愛知","2.0","1.3","29.3","27.4"
"三重","2.0","1.4","28.9","27.2"
"滋賀","2.1","1.4","29.0","27.3"
"京都","1.8","1.2","29.5","27.8"
"大阪","1.9","1.2","29.4","27.8"
"兵庫","2.0","1.3","29.3","27.7"
"奈良","1.9","1.2","29.3","27.6"
"和歌山","2.0","1.3","28.8","27.2"
"鳥取","2.0","1.5","28.6","26.8"
"島根","2.1","1.5","28.8","27.0"
"岡山","2.1","1.4","28.6","27.0"
"広島","2.1","1.3","28.9","27.3"
"山口","1.9","1.4","28.5","27.1"
"徳島","1.9","1.3","28.6","26.9"
"香川","2.0","1.4","28.5","26.9"
"愛媛","2.0","1.4","28.5","27.1"
"高知","1.9","1.3","28.9","27.4"
"福岡","1.8","1.3","29.0","27.6"
"佐賀","2.0","1.5","28.4","27.0"
"長崎","2.1","1.5","28.9","27.5"
"熊本","1.9","1.5","28.6","27.2"
"大分","1.9","1.4","28.8","27.4"
"宮崎","2.1","1.5","28.3","27.0"
"鹿児島","2.1","1.5","28.7","27.2"
"沖縄","2.9","1.7","28.7","27.2"
